date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-30,5.19,6.56,5.13,6.38,18256800.0,18256800.0,-1.19,-22.929,6.02333,"January 30, 98",-0.22929
1998-02-02,6.84,9.31,6.63,7.75,10127200.0,10127200.0,-0.91,-13.304,7.89667,"February 02, 98",-0.13304
1998-02-03,8.25,8.78,8.0,8.25,6244800.0,6244800.0,0.0,0.0,8.34333,"February 03, 98",0.0
1998-02-04,8.22,8.28,7.63,7.91,2106800.0,2106800.0,0.31,3.771,7.94,"February 04, 98",0.03771
1998-02-05,8.06,8.25,7.63,7.64,890800.0,890800.0,0.42,5.211,7.84,"February 05, 98",0.05211
1998-02-06,7.67,7.72,6.88,6.97,2846800.0,2846800.0,0.7,9.126,7.19,"February 06, 98",0.09126
1998-02-09,6.88,7.0,6.41,6.75,1944800.0,1944800.0,0.13,1.89,6.72,"February 09, 98",0.0189
1998-02-10,6.69,7.38,6.53,7.0,1001200.0,1001200.0,-0.31,-4.634,6.97,"February 10, 98",-0.04634
1998-02-11,7.03,7.44,6.91,7.44,842400.0,842400.0,-0.41,-5.832,7.26333,"February 11, 98",-0.05832
1998-02-12,7.41,7.91,7.28,7.78,1111600.0,1111600.0,-0.37,-4.993,7.65667,"February 12, 98",-0.04993
1998-02-13,7.84,8.0,7.69,7.75,544800.0,544800.0,0.09,1.148,7.81333,"February 13, 98",0.01148
1998-02-17,7.84,8.0,7.69,7.81,441600.0,441600.0,0.03,0.383,7.83333,"February 17, 98",0.00383
1998-02-18,7.84,7.88,7.72,7.81,246000.0,246000.0,0.03,0.383,7.80333,"February 18, 98",0.00383
1998-02-19,7.88,7.97,7.69,7.69,318400.0,318400.0,0.19,2.411,7.78333,"February 19, 98",0.02411
1998-02-20,7.69,8.0,7.69,7.97,349200.0,349200.0,-0.28,-3.641,7.88667,"February 20, 98",-0.03641
1998-02-23,7.69,7.72,7.22,7.25,1409600.0,1409600.0,0.44,5.722,7.39667,"February 23, 98",0.05722
1998-02-24,7.41,7.42,6.69,6.84,2599200.0,2599200.0,0.57,7.692,6.98333,"February 24, 98",0.07692
1998-02-25,7.0,7.25,6.81,7.25,1143200.0,1143200.0,-0.25,-3.571,7.10333,"February 25, 98",-0.03571
1998-02-26,7.28,7.28,7.06,7.22,491200.0,491200.0,0.06,0.824,7.18667,"February 26, 98",0.00824
1998-02-27,7.13,7.22,7.13,7.16,573600.0,573600.0,-0.03,-0.421,7.17,"February 27, 98",-0.00421
1998-03-02,7.16,7.2,7.09,7.11,466400.0,466400.0,0.05,0.698,7.13333,"March 02, 98",0.00698
1998-03-03,7.13,7.13,7.0,7.13,642400.0,642400.0,0.0,0.0,7.08667,"March 03, 98",0.0
