date,1. open,2. high,3. low,4. close,5. volume
2011-05-10,11.65,11.8,11.65,11.8,1456.0
2011-05-11,11.8,11.8,11.8,11.8,0.0
2011-05-12,10.91,10.91,10.91,10.91,840.0
2011-05-13,11.2,11.2,11.2,11.2,840.0
2011-05-16,11.2,11.2,11.2,11.2,0.0
2011-05-17,11.2,11.2,11.2,11.2,0.0
2011-05-18,11.2,11.2,11.2,11.2,0.0
2011-05-19,11.2,11.2,11.2,11.2,0.0
2011-05-20,11.2,11.2,11.2,11.2,0.0
2011-05-23,11.2,11.2,11.2,11.2,0.0
2011-05-24,11.2,11.2,11.2,11.2,0.0
2011-05-25,11.2,11.2,11.2,11.2,150.0
2011-05-26,11.2,11.2,11.2,11.2,0.0
2011-05-27,11.2,11.2,11.2,11.2,150.0
2011-05-31,11.2,11.2,11.2,11.2,0.0
2011-06-01,11.2,11.2,11.2,11.2,0.0
2011-06-02,11.2,11.2,11.2,11.2,0.0
2011-06-03,11.2,11.2,11.2,11.2,0.0
2011-06-06,11.2,11.2,11.2,11.2,0.0
2011-06-07,11.2,11.2,11.2,11.2,0.0
2011-06-08,11.2,11.2,11.2,11.2,0.0
2011-06-09,11.2,11.2,11.2,11.2,0.0
2011-06-10,11.2,11.2,11.2,11.2,0.0
2011-06-13,11.2,11.2,11.2,11.2,0.0
2011-06-14,11.2,11.2,11.2,11.2,0.0
2011-06-15,11.2,11.2,11.2,11.2,0.0
2011-06-16,12.35,12.35,12.35,12.35,725.0
2011-06-17,12.35,12.35,12.35,12.35,0.0
2011-06-20,12.2,12.2,12.16,12.19,10938.0
2011-06-21,12.1,12.1,12.1,12.1,400.0
2011-06-22,12.37,12.37,12.37,12.37,565.0
2011-06-23,12.37,12.37,12.37,12.37,0.0
2011-06-24,12.27,12.39,12.27,12.3,1725.0
2011-06-27,12.3,12.3,12.3,12.3,0.0
2011-06-28,11.95,12.23,11.95,12.23,1048.0
2011-06-29,11.83,12.22,11.83,12.22,1412.0
2011-06-30,12.09,12.33,12.09,12.33,8038.0
2011-07-01,12.05,12.24,12.05,12.24,400.0
2011-07-05,12.1241,12.1241,12.1241,12.1241,1851.0
2011-07-06,12.2,12.39,12.2,12.39,560.0
2011-07-07,12.34,12.55,12.34,12.55,910.0
2011-07-08,12.34,12.55,12.34,12.55,0.0
2011-07-11,12.34,12.55,12.34,12.55,0.0
2011-07-12,12.34,12.55,12.34,12.55,0.0
2011-07-13,12.34,12.55,12.34,12.55,0.0
2011-07-14,12.34,12.55,12.34,12.55,0.0
2011-07-15,11.14,11.14,11.14,11.14,281.0
2011-07-18,11.45,11.45,11.39,11.39,614.0
2011-07-19,11.65,11.65,11.65,11.65,326.0
2011-07-20,11.74,11.74,11.74,11.74,383.0
2011-07-21,11.74,11.74,11.74,11.74,0.0
2011-07-22,11.74,11.74,11.74,11.74,0.0
2011-07-25,11.74,11.74,11.74,11.74,0.0
2011-07-26,11.5,11.5,11.5,11.5,155.0
2011-07-27,11.56,11.56,11.56,11.56,165.0
2011-07-28,11.6,11.6,11.6,11.6,144.0
2011-07-29,11.6,11.6,11.6,11.6,0.0
2011-08-01,12.03,12.03,12.03,12.03,4494.0
2011-08-02,12.03,12.03,12.03,12.03,0.0
2011-08-03,11.97,11.97,11.97,11.97,1040.0
2011-08-04,11.97,11.97,11.97,11.97,0.0
2011-08-05,11.97,11.97,11.97,11.97,0.0
2011-08-08,10.03,10.03,10.03,10.03,280.0
2011-08-09,9.91,9.91,9.77,9.77,1383.0
2011-08-10,10.53,10.53,10.53,10.53,200.0
2011-08-11,10.57,10.57,10.57,10.57,200.0
2011-08-12,11.37,11.37,11.16,11.16,1806.0
2011-08-15,11.37,11.37,11.16,11.16,0.0
2011-08-16,11.37,11.37,11.16,11.16,0.0
2011-08-17,11.37,11.37,11.16,11.16,0.0
2011-08-18,11.53,11.53,11.53,11.53,200.0
2011-08-19,11.2,11.74,11.2,11.74,2356.0
2011-08-22,11.2,11.74,11.2,11.74,0.0
2011-08-23,11.2,11.74,11.2,11.74,0.0
2011-08-24,11.2,11.74,11.2,11.74,0.0
2011-08-25,10.86,11.06,10.86,11.06,356.0
2011-08-26,11.06,11.06,11.06,11.06,0.0
2011-08-29,11.2,11.2,11.2,11.2,400.0
2011-08-30,11.09,11.11,11.09,11.11,549.0
2011-08-31,11.09,11.11,11.09,11.11,0.0
2011-09-01,11.09,11.11,11.09,11.11,0.0
2011-09-02,11.09,11.11,11.09,11.11,0.0
2011-09-06,11.14,11.14,11.14,11.14,2300.0
2011-09-07,11.3,11.3,11.3,11.3,400.0
2011-09-08,11.3,11.3,11.3,11.3,0.0
2011-09-09,11.3,11.3,11.3,11.3,0.0
2011-09-12,11.3,11.3,11.3,11.3,0.0
2011-09-13,10.41,10.41,10.41,10.41,400.0
2011-09-14,10.3,10.45,10.3,10.45,2500.0
