date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,41.59,41.76,40.89,40.89,3931200.0,3931200.0,0.7,1.683,41.18,"January 02, 98",0.01683
1998-01-05,40.64,40.83,39.51,39.65,3628700.0,3628700.0,0.99,2.436,39.99667,"January 05, 98",0.02436
1998-01-06,39.68,40.83,39.68,40.61,4532400.0,4532400.0,-0.93,-2.344,40.37333,"January 06, 98",-0.02344
1998-01-07,40.27,40.3,39.71,39.8,3831600.0,3831600.0,0.47,1.167,39.93667,"January 07, 98",0.01167
1998-01-08,39.8,39.99,39.18,39.23,4006200.0,4006200.0,0.57,1.432,39.46667,"January 08, 98",0.01432
1998-01-09,39.09,40.02,38.67,38.92,3837600.0,3837600.0,0.17,0.435,39.20333,"January 09, 98",0.00435
1998-01-12,38.11,39.68,38.11,39.63,3846800.0,3846800.0,-1.52,-3.988,39.14,"January 12, 98",-0.03988
1998-01-13,39.8,40.3,39.15,40.16,2879000.0,2879000.0,-0.36,-0.905,39.87,"January 13, 98",-0.00905
1998-01-14,40.19,40.22,39.49,40.16,1883200.0,1883200.0,0.03,0.075,39.95667,"January 14, 98",0.00075
1998-01-15,40.22,40.36,39.99,40.02,1697100.0,1697100.0,0.2,0.497,40.12333,"January 15, 98",0.00497
1998-01-16,40.3,40.5,40.02,40.08,2598700.0,2598700.0,0.22,0.546,40.2,"January 16, 98",0.00546
1998-01-20,40.13,40.86,40.02,40.75,2259800.0,2259800.0,-0.62,-1.545,40.54333,"January 20, 98",-0.01545
1998-01-21,40.47,40.72,40.27,40.55,2703700.0,2703700.0,-0.08,-0.198,40.51333,"January 21, 98",-0.00198
1998-01-22,40.41,41.03,40.3,40.92,3152300.0,3152300.0,-0.51,-1.262,40.75,"January 22, 98",-0.01262
1998-01-23,40.92,41.26,40.72,40.92,3714700.0,3714700.0,0.0,0.0,40.96667,"January 23, 98",0.0
1998-01-26,40.92,41.14,40.81,40.81,2131700.0,2131700.0,0.11,0.269,40.92,"January 26, 98",0.00269
1998-01-27,40.89,41.85,40.89,41.2,4895700.0,4895700.0,-0.31,-0.758,41.31333,"January 27, 98",-0.00758
1998-01-28,41.48,41.99,41.23,41.26,3442700.0,3442700.0,0.22,0.53,41.49333,"January 28, 98",0.0053
1998-01-29,41.14,41.99,41.14,41.43,3866900.0,3866900.0,-0.29,-0.705,41.52,"January 29, 98",-0.00705
1998-01-30,41.76,41.85,41.51,41.62,3089300.0,3089300.0,0.14,0.335,41.66,"January 30, 98",0.00335
1998-02-02,41.99,42.18,41.71,41.76,3696200.0,3696200.0,0.23,0.548,41.88333,"February 02, 98",0.00548
1998-02-03,41.79,42.16,41.76,42.04,2675000.0,2675000.0,-0.25,-0.598,41.98667,"February 03, 98",-0.00598
1998-02-04,42.1,42.18,41.45,41.48,3134900.0,3134900.0,0.62,1.473,41.70333,"February 04, 98",0.01473
1998-02-05,41.4,41.62,40.92,40.92,3723500.0,3723500.0,0.48,1.159,41.15333,"February 05, 98",0.01159
1998-02-06,40.98,41.54,40.92,40.92,2996600.0,2996600.0,0.06,0.146,41.12667,"February 06, 98",0.00146
1998-02-09,41.09,41.14,40.72,40.78,2469100.0,2469100.0,0.31,0.754,40.88,"February 09, 98",0.00754
1998-02-10,41.0,41.06,40.39,40.41,2701700.0,2701700.0,0.59,1.439,40.62,"February 10, 98",0.01439
1998-02-11,40.41,40.58,40.13,40.55,2335800.0,2335800.0,-0.14,-0.346,40.42,"February 11, 98",-0.00346
1998-02-12,40.39,40.39,39.4,40.22,4027500.0,4027500.0,0.17,0.421,40.00333,"February 12, 98",0.00421
1998-02-13,40.16,40.33,39.6,39.96,2402600.0,2402600.0,0.2,0.498,39.96333,"February 13, 98",0.00498
1998-02-17,40.36,40.44,40.05,40.33,2399900.0,2399900.0,0.03,0.074,40.27333,"February 17, 98",0.00074
1998-02-18,40.44,40.64,40.24,40.5,1889500.0,1889500.0,-0.06,-0.148,40.46,"February 18, 98",-0.00148
1998-02-19,40.24,40.47,39.82,39.82,2187700.0,2187700.0,0.42,1.044,40.03667,"February 19, 98",0.01044
1998-02-20,40.02,40.1,39.88,40.02,3138300.0,3138300.0,0.0,0.0,40.0,"February 20, 98",0.0
1998-02-23,40.3,40.3,39.91,40.1,3182300.0,3182300.0,0.2,0.496,40.10333,"February 23, 98",0.00496
1998-02-24,40.08,40.1,39.49,39.82,3258800.0,3258800.0,0.26,0.649,39.80333,"February 24, 98",0.00649
1998-02-25,40.1,40.1,39.68,39.96,2485400.0,2485400.0,0.14,0.349,39.91333,"February 25, 98",0.00349
1998-02-26,39.91,40.13,39.68,40.1,2356500.0,2356500.0,-0.19,-0.476,39.97,"February 26, 98",-0.00476
1998-02-27,40.02,40.41,39.99,40.36,1498700.0,1498700.0,-0.34,-0.85,40.25333,"February 27, 98",-0.0085
1998-03-02,40.3,41.65,40.27,41.51,3717100.0,3717100.0,-1.21,-3.002,41.14333,"March 02, 98",-0.03002
1998-03-03,41.51,42.16,41.51,41.87,4362900.0,4362900.0,-0.36,-0.867,41.84667,"March 03, 98",-0.00867
1998-03-04,41.65,41.82,41.12,41.34,2737900.0,2737900.0,0.31,0.744,41.42667,"March 04, 98",0.00744
1998-03-05,40.92,41.57,40.92,41.48,2219100.0,2219100.0,-0.56,-1.369,41.32333,"March 05, 98",-0.01369
1998-03-06,41.93,43.39,41.82,42.86,3601000.0,3601000.0,-0.93,-2.218,42.69,"March 06, 98",-0.02218
1998-03-09,42.52,42.77,42.27,42.27,2459200.0,2459200.0,0.25,0.588,42.43667,"March 09, 98",0.00588
1998-03-10,42.38,42.55,42.13,42.16,2005600.0,2005600.0,0.22,0.519,42.28,"March 10, 98",0.00519
1998-03-11,41.93,43.2,41.93,43.0,2043600.0,2043600.0,-1.07,-2.552,42.71,"March 11, 98",-0.02552
1998-03-12,42.72,43.31,42.49,42.72,1942800.0,1942800.0,0.0,0.0,42.84,"March 12, 98",0.0
1998-03-13,42.77,43.56,42.77,43.31,2258400.0,2258400.0,-0.54,-1.263,43.21333,"March 13, 98",-0.01263
1998-03-16,43.5,44.91,43.5,44.4,2370700.0,2370700.0,-0.9,-2.069,44.27,"March 16, 98",-0.02069
1998-03-17,44.52,44.8,44.21,44.46,2752400.0,2752400.0,0.06,0.135,44.49,"March 17, 98",0.00135
1998-03-18,44.46,45.05,44.46,44.97,3277000.0,3277000.0,-0.51,-1.147,44.82667,"March 18, 98",-0.01147
1998-03-19,44.85,46.65,44.77,46.32,4184600.0,4184600.0,-1.47,-3.278,45.91333,"March 19, 98",-0.03278
1998-03-20,46.65,47.66,46.54,46.99,6298100.0,6298100.0,-0.34,-0.729,47.06333,"March 20, 98",-0.00729
1998-03-23,46.99,47.1,46.37,46.71,3745100.0,3745100.0,0.28,0.596,46.72667,"March 23, 98",0.00596
1998-03-24,46.76,47.33,46.54,47.13,2902300.0,2902300.0,-0.37,-0.791,47.0,"March 24, 98",-0.00791
1998-03-25,47.13,47.5,46.12,46.51,2802400.0,2802400.0,0.62,1.316,46.71,"March 25, 98",0.01316
1998-03-26,45.98,46.6,45.89,45.89,2597800.0,2597800.0,0.09,0.196,46.12667,"March 26, 98",0.00196
1998-03-27,45.75,45.89,45.08,45.42,2422400.0,2422400.0,0.33,0.721,45.46333,"March 27, 98",0.00721
1998-03-30,45.58,46.29,45.47,45.61,1993800.0,1993800.0,-0.03,-0.066,45.79,"March 30, 98",-0.00066
1998-03-31,45.67,47.1,45.61,45.98,2459600.0,2459600.0,-0.31,-0.679,46.23,"March 31, 98",-0.00679
1998-04-01,46.03,46.06,45.42,45.58,2410000.0,2410000.0,0.45,0.978,45.68667,"April 01, 98",0.00978
1998-04-02,45.7,45.98,45.44,45.81,2975700.0,2975700.0,-0.11,-0.241,45.74333,"April 02, 98",-0.00241
1998-04-03,46.32,46.43,45.75,46.01,2298800.0,2298800.0,0.31,0.669,46.06333,"April 03, 98",0.00669
1998-04-06,46.15,46.2,45.19,45.39,2575700.0,2575700.0,0.76,1.647,45.59333,"April 06, 98",0.01647
1998-04-07,45.58,45.81,44.46,45.13,3656400.0,3656400.0,0.45,0.987,45.13333,"April 07, 98",0.00987
1998-04-08,45.13,45.22,43.2,43.2,5013300.0,5013300.0,1.93,4.277,43.87333,"April 08, 98",0.04277
1998-04-09,43.73,44.15,43.11,43.59,3796900.0,3796900.0,0.14,0.32,43.61667,"April 09, 98",0.0032
1998-04-13,43.59,43.59,41.99,42.32,3764900.0,3764900.0,1.27,2.914,42.63333,"April 13, 98",0.02914
1998-04-14,42.61,43.03,42.3,42.35,3626400.0,3626400.0,0.26,0.61,42.56,"April 14, 98",0.0061
1998-04-15,42.32,42.72,41.48,41.51,4248400.0,4248400.0,0.81,1.914,41.90333,"April 15, 98",0.01914
1998-04-16,41.31,41.71,41.14,41.59,4542600.0,4542600.0,-0.28,-0.678,41.48,"April 16, 98",-0.00678
1998-04-17,41.62,43.5,41.28,43.14,4694400.0,4694400.0,-1.52,-3.652,42.64,"April 17, 98",-0.03652
1998-04-20,43.17,43.42,42.61,43.03,3136900.0,3136900.0,0.14,0.324,43.02,"April 20, 98",0.00324
1998-04-21,42.72,43.45,42.38,43.28,2381900.0,2381900.0,-0.56,-1.311,43.03667,"April 21, 98",-0.01311
1998-04-22,43.17,44.26,43.17,43.95,2611300.0,2611300.0,-0.78,-1.807,43.79333,"April 22, 98",-0.01807
1998-04-23,43.28,43.73,42.04,42.55,3471400.0,3471400.0,0.73,1.687,42.77333,"April 23, 98",0.01687
1998-04-24,41.54,42.32,41.48,41.85,4104500.0,4104500.0,-0.31,-0.746,41.88333,"April 24, 98",-0.00746
1998-04-27,41.17,41.48,40.92,41.26,3225600.0,3225600.0,-0.09,-0.219,41.22,"April 27, 98",-0.00219
1998-04-28,41.76,41.76,40.95,41.17,2336700.0,2336700.0,0.59,1.413,41.29333,"April 28, 98",0.01413
1998-04-29,41.28,41.71,41.12,41.45,2602300.0,2602300.0,-0.17,-0.412,41.42667,"April 29, 98",-0.00412
1998-04-30,41.76,42.94,41.62,42.07,3028300.0,3028300.0,-0.31,-0.742,42.21,"April 30, 98",-0.00742
1998-05-01,42.61,43.84,42.3,43.73,3937600.0,3937600.0,-1.12,-2.628,43.29,"May 01, 98",-0.02628
1998-05-04,44.4,45.05,44.01,44.57,3654100.0,3654100.0,-0.17,-0.383,44.54333,"May 04, 98",-0.00383
1998-05-05,44.52,44.71,44.07,44.54,2689600.0,2689600.0,-0.02,-0.045,44.44,"May 05, 98",-0.00045
1998-05-06,44.35,44.43,43.39,43.39,2391000.0,2391000.0,0.96,2.165,43.73667,"May 06, 98",0.02165
1998-05-07,43.25,43.25,42.3,42.77,2314100.0,2314100.0,0.48,1.11,42.77333,"May 07, 98",0.0111
1998-05-08,42.69,43.36,42.32,42.49,2272800.0,2272800.0,0.2,0.468,42.72333,"May 08, 98",0.00468
1998-05-11,42.83,43.34,41.54,41.9,3489000.0,3489000.0,0.93,2.171,42.26,"May 11, 98",0.02171
