date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,15.81,15.81,15.09,15.47,1105400.0,1105400.0,0.34,2.151,15.45667,"January 02, 98",0.02151
1998-01-05,15.5,15.72,15.41,15.5,1437800.0,1437800.0,0.0,0.0,15.54333,"January 05, 98",0.0
1998-01-06,15.44,15.53,15.25,15.41,934000.0,934000.0,0.03,0.194,15.39667,"January 06, 98",0.00194
1998-01-07,15.38,15.59,15.22,15.38,1107000.0,1107000.0,0.0,0.0,15.39667,"January 07, 98",0.0
1998-01-08,15.31,15.34,15.0,15.03,1557600.0,1557600.0,0.28,1.829,15.12333,"January 08, 98",0.01829
1998-01-09,15.13,15.34,14.97,15.06,1366000.0,1366000.0,0.07,0.463,15.12333,"January 09, 98",0.00463
1998-01-12,14.81,15.69,14.78,15.59,1767800.0,1767800.0,-0.78,-5.267,15.35333,"January 12, 98",-0.05267
1998-01-13,15.69,15.78,15.34,15.63,2669200.0,2669200.0,0.06,0.382,15.58333,"January 13, 98",0.00382
1998-01-14,15.75,16.09,15.56,16.09,1544200.0,1544200.0,-0.34,-2.159,15.91333,"January 14, 98",-0.02159
1998-01-15,15.97,15.97,15.59,15.75,1250000.0,1250000.0,0.22,1.378,15.77,"January 15, 98",0.01378
1998-01-16,15.94,16.28,15.88,16.22,2031800.0,2031800.0,-0.28,-1.757,16.12667,"January 16, 98",-0.01757
1998-01-20,16.34,16.88,16.22,16.81,1946600.0,1946600.0,-0.47,-2.876,16.63667,"January 20, 98",-0.02876
1998-01-21,16.81,17.03,16.31,16.44,2003200.0,2003200.0,0.37,2.201,16.59333,"January 21, 98",0.02201
1998-01-22,16.25,16.66,16.22,16.59,1257800.0,1257800.0,-0.34,-2.092,16.49,"January 22, 98",-0.02092
1998-01-23,16.5,16.69,16.19,16.47,1247800.0,1247800.0,0.03,0.182,16.45,"January 23, 98",0.00182
1998-01-26,16.47,16.5,16.19,16.22,776400.0,776400.0,0.25,1.518,16.30333,"January 26, 98",0.01518
1998-01-27,16.16,16.56,16.16,16.38,1056800.0,1056800.0,-0.22,-1.361,16.36667,"January 27, 98",-0.01361
1998-01-28,16.47,16.5,16.25,16.44,1213600.0,1213600.0,0.03,0.182,16.39667,"January 28, 98",0.00182
1998-01-29,16.41,17.44,16.34,16.81,2433200.0,2433200.0,-0.4,-2.438,16.86333,"January 29, 98",-0.02438
1998-01-30,16.69,16.94,16.5,16.56,1434000.0,1434000.0,0.13,0.779,16.66667,"January 30, 98",0.00779
1998-02-02,16.88,17.78,16.88,17.53,2548400.0,2548400.0,-0.65,-3.851,17.39667,"February 02, 98",-0.03851
1998-02-03,17.38,18.03,17.38,17.84,2101800.0,2101800.0,-0.46,-2.647,17.75,"February 03, 98",-0.02647
1998-02-04,17.63,17.75,17.44,17.56,1629000.0,1629000.0,0.07,0.397,17.58333,"February 04, 98",0.00397
1998-02-05,17.63,17.94,17.28,17.47,1627400.0,1627400.0,0.16,0.908,17.56333,"February 05, 98",0.00908
1998-02-06,17.5,17.72,17.31,17.41,893000.0,893000.0,0.09,0.514,17.48,"February 06, 98",0.00514
1998-02-09,17.5,17.69,17.34,17.63,1014000.0,1014000.0,-0.13,-0.743,17.55333,"February 09, 98",-0.00743
1998-02-10,17.69,17.97,17.59,17.81,1498000.0,1498000.0,-0.12,-0.678,17.79,"February 10, 98",-0.00678
1998-02-11,17.75,17.94,17.69,17.94,1371800.0,1371800.0,-0.19,-1.07,17.85667,"February 11, 98",-0.0107
1998-02-12,17.69,18.59,17.69,18.56,1309400.0,1309400.0,-0.87,-4.918,18.28,"February 12, 98",-0.04918
1998-02-13,18.38,18.53,17.91,17.97,1898800.0,1898800.0,0.41,2.231,18.13667,"February 13, 98",0.02231
1998-02-17,18.03,18.13,17.78,17.84,2342000.0,2342000.0,0.19,1.054,17.91667,"February 17, 98",0.01054
1998-02-18,17.75,17.91,17.56,17.66,1788400.0,1788400.0,0.09,0.507,17.71,"February 18, 98",0.00507
1998-02-19,17.78,17.81,17.56,17.69,1693000.0,1693000.0,0.09,0.506,17.68667,"February 19, 98",0.00506
1998-02-20,17.88,18.38,17.69,18.38,1640000.0,1640000.0,-0.5,-2.796,18.15,"February 20, 98",-0.02796
1998-02-23,18.25,18.63,18.25,18.41,1503200.0,1503200.0,-0.16,-0.877,18.43,"February 23, 98",-0.00877
1998-02-24,18.47,18.47,18.13,18.34,1457400.0,1457400.0,0.13,0.704,18.31333,"February 24, 98",0.00704
1998-02-25,18.44,18.59,18.28,18.38,970800.0,970800.0,0.06,0.325,18.41667,"February 25, 98",0.00325
1998-02-26,18.38,18.41,18.16,18.38,867400.0,867400.0,0.0,0.0,18.31667,"February 26, 98",0.0
1998-02-27,18.34,18.41,18.09,18.34,1183200.0,1183200.0,0.0,0.0,18.28,"February 27, 98",0.0
1998-03-02,18.31,18.34,18.0,18.06,965800.0,965800.0,0.25,1.365,18.13333,"March 02, 98",0.01365
1998-03-03,18.0,18.47,18.0,18.22,1313400.0,1313400.0,-0.22,-1.222,18.23,"March 03, 98",-0.01222
1998-03-04,18.28,18.38,18.13,18.19,680800.0,680800.0,0.09,0.492,18.23333,"March 04, 98",0.00492
1998-03-05,18.06,18.19,17.84,17.91,1280800.0,1280800.0,0.15,0.831,17.98,"March 05, 98",0.00831
1998-03-06,17.97,18.25,17.81,18.0,1684800.0,1684800.0,-0.03,-0.167,18.02,"March 06, 98",-0.00167
1998-03-09,18.0,18.31,17.94,18.31,2306800.0,2306800.0,-0.31,-1.722,18.18667,"March 09, 98",-0.01722
1998-03-10,18.06,18.41,18.06,18.16,2602200.0,2602200.0,-0.1,-0.554,18.21,"March 10, 98",-0.00554
1998-03-11,18.22,18.34,17.66,18.09,1374400.0,1374400.0,0.13,0.714,18.03,"March 11, 98",0.00714
