date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,27.25,27.25,26.5,26.69,47800.0,47800.0,0.56,2.055,26.81333,"January 02, 98",0.02055
1998-01-05,26.69,27.13,26.63,27.13,59100.0,59100.0,-0.44,-1.649,26.96333,"January 05, 98",-0.01649
1998-01-06,27.0,27.06,26.81,27.06,175400.0,175400.0,-0.06,-0.222,26.97667,"January 06, 98",-0.00222
1998-01-07,27.13,27.13,25.88,26.56,98800.0,98800.0,0.57,2.101,26.52333,"January 07, 98",0.02101
1998-01-08,26.56,26.56,26.25,26.38,114400.0,114400.0,0.18,0.678,26.39667,"January 08, 98",0.00678
1998-01-09,26.38,26.5,24.5,24.63,149100.0,149100.0,1.75,6.634,25.21,"January 09, 98",0.06634
1998-01-12,24.25,25.0,24.13,24.44,132100.0,132100.0,-0.19,-0.784,24.52333,"January 12, 98",-0.00784
1998-01-13,24.56,24.88,24.56,24.75,114100.0,114100.0,-0.19,-0.774,24.73,"January 13, 98",-0.00774
1998-01-14,24.81,24.88,24.38,24.75,44900.0,44900.0,0.06,0.242,24.67,"January 14, 98",0.00242
1998-01-15,24.75,25.0,24.63,24.94,57500.0,57500.0,-0.19,-0.768,24.85667,"January 15, 98",-0.00768
1998-01-16,25.0,25.31,24.75,24.94,131200.0,131200.0,0.06,0.24,25.0,"January 16, 98",0.0024
1998-01-20,25.06,25.13,24.88,25.0,48100.0,48100.0,0.06,0.239,25.00333,"January 20, 98",0.00239
1998-01-21,24.94,24.94,24.25,24.44,50000.0,50000.0,0.5,2.005,24.54333,"January 21, 98",0.02005
1998-01-22,24.31,24.63,24.19,24.5,37700.0,37700.0,-0.19,-0.782,24.44,"January 22, 98",-0.00782
1998-01-23,24.38,24.5,23.88,24.31,38300.0,38300.0,0.07,0.287,24.23,"January 23, 98",0.00287
1998-01-26,24.19,24.38,23.56,23.69,47400.0,47400.0,0.5,2.067,23.87667,"January 26, 98",0.02067
1998-01-27,23.69,24.25,23.63,23.88,35500.0,35500.0,-0.19,-0.802,23.92,"January 27, 98",-0.00802
1998-01-28,23.88,24.25,23.88,24.19,14700.0,14700.0,-0.31,-1.298,24.10667,"January 28, 98",-0.01298
1998-01-29,24.19,24.38,24.19,24.25,21100.0,21100.0,-0.06,-0.248,24.27333,"January 29, 98",-0.00248
1998-01-30,24.19,24.25,24.06,24.13,15300.0,15300.0,0.06,0.248,24.14667,"January 30, 98",0.00248
1998-02-02,24.19,24.81,24.19,24.5,39100.0,39100.0,-0.31,-1.282,24.5,"February 02, 98",-0.01282
