date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,19.13,19.28,19.0,19.09,2031800.0,2031800.0,0.04,0.209,19.12333,"January 02, 98",0.00209
1998-01-05,19.09,19.47,18.66,18.91,2519800.0,2519800.0,0.18,0.943,19.01333,"January 05, 98",0.00943
1998-01-06,18.88,19.0,18.51,18.72,2799200.0,2799200.0,0.16,0.847,18.74333,"January 06, 98",0.00847
1998-01-07,18.25,18.41,17.66,18.41,5725000.0,5725000.0,-0.16,-0.877,18.16,"January 07, 98",-0.00877
1998-01-08,18.5,18.78,18.38,18.72,4574800.0,4574800.0,-0.22,-1.189,18.62667,"January 08, 98",-0.01189
1998-01-09,18.63,18.66,17.56,17.84,2976600.0,2976600.0,0.79,4.24,18.02,"January 09, 98",0.0424
1998-01-12,17.5,18.38,17.38,18.31,2852800.0,2852800.0,-0.81,-4.629,18.02333,"January 12, 98",-0.04629
1998-01-13,18.81,18.81,18.0,18.09,3232800.0,3232800.0,0.72,3.828,18.3,"January 13, 98",0.03828
1998-01-14,18.5,18.69,18.16,18.66,2694400.0,2694400.0,-0.16,-0.865,18.50333,"January 14, 98",-0.00865
1998-01-15,18.69,18.75,18.47,18.5,2031000.0,2031000.0,0.19,1.017,18.57333,"January 15, 98",0.01017
1998-01-16,18.63,18.72,18.47,18.53,2357000.0,2357000.0,0.1,0.537,18.57333,"January 16, 98",0.00537
1998-01-20,18.72,18.81,18.44,18.81,3157000.0,3157000.0,-0.09,-0.481,18.68667,"January 20, 98",-0.00481
1998-01-21,18.81,18.81,18.03,18.16,3919600.0,3919600.0,0.65,3.456,18.33333,"January 21, 98",0.03456
1998-01-22,18.13,18.13,17.63,18.06,2637000.0,2637000.0,0.07,0.386,17.94,"January 22, 98",0.00386
1998-01-23,18.06,18.06,17.44,17.78,2361400.0,2361400.0,0.28,1.55,17.76,"January 23, 98",0.0155
1998-01-26,17.75,18.22,17.72,17.81,1924200.0,1924200.0,-0.06,-0.338,17.91667,"January 26, 98",-0.00338
1998-01-27,17.69,18.28,17.69,18.13,2110800.0,2110800.0,-0.44,-2.487,18.03333,"January 27, 98",-0.02487
1998-01-28,18.44,18.63,18.22,18.28,2827200.0,2827200.0,0.16,0.868,18.37667,"January 28, 98",0.00868
1998-01-29,18.34,18.69,18.22,18.41,2410600.0,2410600.0,-0.07,-0.382,18.44,"January 29, 98",-0.00382
1998-01-30,18.47,18.47,18.03,18.22,2606800.0,2606800.0,0.25,1.354,18.24,"January 30, 98",0.01354
1998-02-02,18.63,18.81,18.38,18.66,3278200.0,3278200.0,-0.03,-0.161,18.61667,"February 02, 98",-0.00161
1998-02-03,18.56,19.22,18.5,19.22,4764200.0,4764200.0,-0.66,-3.556,18.98,"February 03, 98",-0.03556
1998-02-04,19.13,19.31,18.78,19.25,2896000.0,2896000.0,-0.12,-0.627,19.11333,"February 04, 98",-0.00627
1998-02-05,19.22,19.47,18.88,19.19,1721400.0,1721400.0,0.03,0.156,19.18,"February 05, 98",0.00156
1998-02-06,19.31,19.59,19.22,19.41,3194200.0,3194200.0,-0.1,-0.518,19.40667,"February 06, 98",-0.00518
