date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2001-06-12,43.71,45.17,42.38,43.97,3894400.0,3894400.0,-0.26,-0.595,43.84,"June 12, 01",-0.00595
2001-06-13,43.84,44.24,43.71,43.84,758000.0,758000.0,0.0,0.0,43.93,"June 13, 01",0.0
2001-06-14,43.71,43.71,42.38,42.91,501000.0,501000.0,0.8,1.83,43.0,"June 14, 01",0.0183
2001-06-15,42.78,43.58,42.38,43.58,382800.0,382800.0,-0.8,-1.87,43.18,"June 15, 01",-0.0187
2001-06-18,45.03,46.09,43.84,45.14,358300.0,358300.0,-0.11,-0.244,45.02333,"June 18, 01",-0.00244
2001-06-19,45.03,45.96,44.37,45.96,232800.0,232800.0,-0.93,-2.065,45.43,"June 19, 01",-0.02065
2001-06-20,46.09,49.01,46.09,47.15,176100.0,176100.0,-1.06,-2.3,47.41667,"June 20, 01",-0.023
2001-06-21,47.15,47.68,47.02,47.15,79100.0,79100.0,0.0,0.0,47.28333,"June 21, 01",0.0
2001-06-22,47.1,47.1,45.96,46.3,109800.0,109800.0,0.8,1.699,46.45333,"June 22, 01",0.01699
2001-06-25,45.7,47.68,43.71,46.75,142500.0,142500.0,-1.05,-2.298,46.04667,"June 25, 01",-0.02298
2001-06-26,46.57,46.57,44.98,45.03,109300.0,109300.0,1.54,3.307,45.52667,"June 26, 01",0.03307
2001-06-27,45.03,46.23,44.37,45.83,96100.0,96100.0,-0.8,-1.777,45.47667,"June 27, 01",-0.01777
2001-06-28,46.36,47.28,46.09,46.36,102500.0,102500.0,0.0,0.0,46.57667,"June 28, 01",0.0
2001-06-29,46.36,47.55,45.7,47.02,222800.0,222800.0,-0.66,-1.424,46.75667,"June 29, 01",-0.01424
2001-07-02,47.02,47.15,45.7,46.36,46300.0,46300.0,0.66,1.404,46.40333,"July 02, 01",0.01404
2001-07-03,46.75,46.75,45.7,46.09,54300.0,54300.0,0.66,1.412,46.18,"July 03, 01",0.01412
2001-07-05,46.36,47.26,46.09,47.07,74800.0,74800.0,-0.71,-1.531,46.80667,"July 05, 01",-0.01531
2001-07-06,47.05,47.28,46.75,46.97,60500.0,60500.0,0.08,0.17,47.0,"July 06, 01",0.0017
2001-07-09,46.62,46.62,45.03,45.3,117300.0,117300.0,1.32,2.831,45.65,"July 09, 01",0.02831
2001-07-10,45.43,45.59,44.37,44.77,148900.0,148900.0,0.66,1.453,44.91,"July 10, 01",0.01453
2001-07-11,45.17,47.02,44.66,45.7,151900.0,151900.0,-0.53,-1.173,45.79333,"July 11, 01",-0.01173
2001-07-12,45.7,46.36,44.64,44.69,198900.0,198900.0,1.01,2.21,45.23,"July 12, 01",0.0221
2001-07-13,44.66,45.7,44.66,45.7,112200.0,112200.0,-1.04,-2.329,45.35333,"July 13, 01",-0.02329
2001-07-16,45.83,46.04,45.7,45.96,48800.0,48800.0,-0.13,-0.284,45.9,"July 16, 01",-0.00284
2001-07-17,45.96,46.36,44.77,45.96,64900.0,64900.0,0.0,0.0,45.69667,"July 17, 01",0.0
2001-07-18,45.83,45.83,45.03,45.43,80500.0,80500.0,0.4,0.873,45.43,"July 18, 01",0.00873
2001-07-19,45.03,45.3,44.5,45.03,128200.0,128200.0,0.0,0.0,44.94333,"July 19, 01",0.0
2001-07-20,44.9,45.03,44.69,44.9,38700.0,38700.0,0.0,0.0,44.87333,"July 20, 01",0.0
2001-07-23,44.9,44.9,44.64,44.9,59900.0,59900.0,0.0,0.0,44.81333,"July 23, 01",0.0
2001-07-24,44.9,44.9,43.18,43.44,221400.0,221400.0,1.46,3.252,43.84,"July 24, 01",0.03252
2001-07-25,43.18,43.18,41.06,43.05,371700.0,371700.0,0.13,0.301,42.43,"July 25, 01",0.00301
2001-07-26,43.05,43.97,43.05,43.6,96100.0,96100.0,-0.55,-1.278,43.54,"July 26, 01",-0.01278
2001-07-27,43.71,45.56,43.71,45.56,118800.0,118800.0,-1.85,-4.232,44.94333,"July 27, 01",-0.04232
2001-07-30,45.17,46.33,45.03,45.03,91200.0,91200.0,0.14,0.31,45.46333,"July 30, 01",0.0031
2001-07-31,46.36,47.02,44.77,45.7,267200.0,267200.0,0.66,1.424,45.83,"July 31, 01",0.01424
2001-08-01,45.96,46.36,45.75,45.75,139500.0,139500.0,0.21,0.457,45.95333,"August 01, 01",0.00457
2001-08-02,45.75,45.83,44.11,44.37,153100.0,153100.0,1.38,3.016,44.77,"August 02, 01",0.03016
2001-08-03,44.37,47.02,44.37,46.75,177000.0,177000.0,-2.38,-5.364,46.04667,"August 03, 01",-0.05364
2001-08-06,47.02,47.68,46.78,47.68,46500.0,46500.0,-0.66,-1.404,47.38,"August 06, 01",-0.01404
2001-08-07,47.42,47.81,46.36,46.36,130000.0,130000.0,1.06,2.235,46.84333,"August 07, 01",0.02235
2001-08-08,46.62,46.62,45.56,46.49,67300.0,67300.0,0.13,0.279,46.22333,"August 08, 01",0.00279
2001-08-09,46.36,46.49,45.7,46.12,58600.0,58600.0,0.24,0.518,46.10333,"August 09, 01",0.00518
2001-08-10,46.12,46.89,46.12,46.89,25700.0,25700.0,-0.77,-1.67,46.63333,"August 10, 01",-0.0167
2001-08-13,46.62,48.34,46.49,47.44,34900.0,34900.0,-0.82,-1.759,47.42333,"August 13, 01",-0.01759
2001-08-14,47.28,49.01,47.28,48.08,72000.0,72000.0,-0.8,-1.692,48.12333,"August 14, 01",-0.01692
2001-08-15,48.48,48.48,47.68,48.34,61400.0,61400.0,0.14,0.289,48.16667,"August 15, 01",0.00289
2001-08-16,48.34,48.9,48.11,48.77,68700.0,68700.0,-0.43,-0.89,48.59333,"August 16, 01",-0.0089
2001-08-17,48.74,49.72,48.74,49.27,9200.0,9200.0,-0.53,-1.087,49.24333,"August 17, 01",-0.01087
2001-08-20,49.67,51.66,49.67,51.66,174900.0,174900.0,-1.99,-4.006,50.99667,"August 20, 01",-0.04006
2001-08-21,50.99,51.26,50.33,50.46,108000.0,108000.0,0.53,1.039,50.68333,"August 21, 01",0.01039
2001-08-22,50.86,53.51,50.86,52.85,180200.0,180200.0,-1.99,-3.913,52.40667,"August 22, 01",-0.03913
2001-08-23,52.98,52.98,52.19,52.19,44300.0,44300.0,0.79,1.491,52.45333,"August 23, 01",0.01491
2001-08-24,51.52,51.52,50.6,50.86,154300.0,154300.0,0.66,1.281,50.99333,"August 24, 01",0.01281
2001-08-27,50.99,51.13,50.07,50.33,59500.0,59500.0,0.66,1.294,50.51,"August 27, 01",0.01294
