date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,38.75,39.0,38.0,38.75,285200.0,285200.0,0.0,0.0,38.58333,"January 02, 98",0.0
1998-01-05,38.5,38.69,38.13,38.38,396500.0,396500.0,0.12,0.312,38.4,"January 05, 98",0.00312
1998-01-06,38.06,39.25,37.81,38.81,500200.0,500200.0,-0.75,-1.971,38.62333,"January 06, 98",-0.01971
1998-01-07,38.69,38.69,37.94,38.56,703700.0,703700.0,0.13,0.336,38.39667,"January 07, 98",0.00336
1998-01-08,38.31,38.31,37.19,37.5,1429200.0,1429200.0,0.81,2.114,37.66667,"January 08, 98",0.02114
1998-01-09,37.5,37.5,35.5,36.88,504200.0,504200.0,0.62,1.653,36.62667,"January 09, 98",0.01653
1998-01-12,36.0,36.38,35.06,36.0,842300.0,842300.0,0.0,0.0,35.81333,"January 12, 98",0.0
1998-01-13,36.0,36.5,35.88,36.13,522500.0,522500.0,-0.13,-0.361,36.17,"January 13, 98",-0.00361
1998-01-14,36.0,37.13,35.88,36.88,1143400.0,1143400.0,-0.88,-2.444,36.63,"January 14, 98",-0.02444
1998-01-15,36.88,38.13,36.81,37.88,2115700.0,2115700.0,-1.0,-2.711,37.60667,"January 15, 98",-0.02711
1998-01-16,38.0,38.19,37.63,37.81,527200.0,527200.0,0.19,0.5,37.87667,"January 16, 98",0.005
1998-01-20,37.13,37.88,37.0,37.0,958000.0,958000.0,0.13,0.35,37.29333,"January 20, 98",0.0035
1998-01-21,37.0,37.06,35.94,36.13,1594800.0,1594800.0,0.87,2.351,36.37667,"January 21, 98",0.02351
1998-01-22,36.0,36.13,35.13,35.69,1238600.0,1238600.0,0.31,0.861,35.65,"January 22, 98",0.00861
1998-01-23,35.63,35.94,34.94,34.94,1412900.0,1412900.0,0.69,1.937,35.27333,"January 23, 98",0.01937
1998-01-26,35.0,35.25,34.63,34.75,1286200.0,1286200.0,0.25,0.714,34.87667,"January 26, 98",0.00714
1998-01-27,35.0,35.44,34.75,35.0,783800.0,783800.0,0.0,0.0,35.06333,"January 27, 98",0.0
