date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2012-11-21,10.5,11.75,10.5,11.31,4567100.0,4567100.0,-0.81,-7.714,11.18667,"November 21, 12",-0.07714
2012-11-23,11.5,11.76,11.2,11.32,237000.0,237000.0,0.18,1.565,11.42667,"November 23, 12",0.01565
2012-11-26,11.5,11.5,10.81,11.3,257300.0,257300.0,0.2,1.739,11.20333,"November 26, 12",0.01739
2012-11-27,11.4,12.99,11.17,12.2,460400.0,460400.0,-0.8,-7.018,12.12,"November 27, 12",-0.07018
2012-11-28,12.3,13.15,12.18,13.02,795900.0,795900.0,-0.72,-5.854,12.78333,"November 28, 12",-0.05854
2012-11-29,13.5,14.34,13.22,13.34,533200.0,533200.0,0.16,1.185,13.63333,"November 29, 12",0.01185
2012-11-30,14.24,14.56,13.55,14.17,390800.0,390800.0,0.07,0.492,14.09333,"November 30, 12",0.00492
2012-12-03,14.45,14.98,14.25,14.54,336200.0,336200.0,-0.09,-0.623,14.59,"December 03, 12",-0.00623
2012-12-04,15.27,15.27,13.56,14.18,482400.0,482400.0,1.09,7.138,14.33667,"December 04, 12",0.07138
2012-12-05,14.07,14.3,13.0,13.16,359600.0,359600.0,0.91,6.468,13.48667,"December 05, 12",0.06468
2012-12-06,13.0,13.1,12.2,12.23,642900.0,642900.0,0.77,5.923,12.51,"December 06, 12",0.05923
2012-12-07,12.33,12.68,12.0,12.18,252300.0,252300.0,0.15,1.217,12.28667,"December 07, 12",0.01217
2012-12-10,12.15,12.72,12.15,12.34,253600.0,253600.0,-0.19,-1.564,12.40333,"December 10, 12",-0.01564
2012-12-11,12.37,13.32,12.3,12.9,241100.0,241100.0,-0.53,-4.285,12.84,"December 11, 12",-0.04285
2012-12-12,13.47,13.73,13.0,13.09,254900.0,254900.0,0.38,2.821,13.27333,"December 12, 12",0.02821
2012-12-13,13.2,13.5,13.08,13.31,147800.0,147800.0,-0.11,-0.833,13.29667,"December 13, 12",-0.00833
