date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-05-15,11.4,13.92,11.06,13.43,8421300.0,8421300.0,-2.03,-17.807,12.80333,"May 15, 14",-0.17807
2014-05-16,13.6,15.75,13.44,15.25,1867700.0,1867700.0,-1.65,-12.132,14.81333,"May 16, 14",-0.12132
2014-05-19,16.0,17.94,15.99,16.5,1529200.0,1529200.0,-0.5,-3.125,16.81,"May 19, 14",-0.03125
2014-05-20,16.75,18.17,15.67,16.95,877700.0,877700.0,-0.2,-1.194,16.93,"May 20, 14",-0.01194
2014-05-21,17.2,17.33,16.3,17.19,386800.0,386800.0,0.01,0.058,16.94,"May 21, 14",0.00058
2014-05-22,17.3,17.3,15.95,16.15,1321100.0,1321100.0,1.15,6.647,16.46667,"May 22, 14",0.06647
2014-05-23,16.46,16.46,14.8,16.36,942200.0,942200.0,0.1,0.608,15.87333,"May 23, 14",0.00608
2014-05-27,16.5,16.7,15.92,16.1,115700.0,115700.0,0.4,2.424,16.24,"May 27, 14",0.02424
2014-05-28,16.29,18.45,16.17,17.38,501200.0,501200.0,-1.09,-6.691,17.33333,"May 28, 14",-0.06691
2014-05-29,17.5,18.06,17.29,17.49,272100.0,272100.0,0.01,0.057,17.61333,"May 29, 14",0.00057
2014-05-30,17.85,17.9,15.83,15.98,219200.0,219200.0,1.87,10.476,16.57,"May 30, 14",0.10476
2014-06-02,15.95,15.96,14.17,15.0,346100.0,346100.0,0.95,5.956,15.04333,"June 02, 14",0.05956
2014-06-03,15.06,16.0,14.77,15.06,293800.0,293800.0,0.0,0.0,15.27667,"June 03, 14",0.0
2014-06-04,15.09,15.51,14.31,15.3,180100.0,180100.0,-0.21,-1.392,15.04,"June 04, 14",-0.01392
2014-06-05,15.3,15.62,14.73,15.22,174400.0,174400.0,0.08,0.523,15.19,"June 05, 14",0.00523
2014-06-06,15.35,15.59,15.0,15.39,223100.0,223100.0,-0.04,-0.261,15.32667,"June 06, 14",-0.00261
2014-06-09,15.24,17.57,14.76,17.32,438400.0,438400.0,-2.08,-13.648,16.55,"June 09, 14",-0.13648
2014-06-10,17.44,18.12,16.5,16.5,244300.0,244300.0,0.94,5.39,17.04,"June 10, 14",0.0539
2014-06-11,16.39,18.75,16.23,18.49,419000.0,419000.0,-2.1,-12.813,17.82333,"June 11, 14",-0.12813
2014-06-12,18.44,18.44,17.34,17.89,231600.0,231600.0,0.55,2.983,17.89,"June 12, 14",0.02983
2014-06-13,18.05,18.09,16.0,16.75,426200.0,426200.0,1.3,7.202,16.94667,"June 13, 14",0.07202
2014-06-16,16.69,18.25,16.19,17.24,271600.0,271600.0,-0.55,-3.295,17.22667,"June 16, 14",-0.03295
2014-06-17,17.37,18.0,17.24,17.7,88600.0,88600.0,-0.33,-1.9,17.64667,"June 17, 14",-0.019
2014-06-18,17.74,18.11,17.31,17.61,142600.0,142600.0,0.13,0.733,17.67667,"June 18, 14",0.00733
2014-06-19,17.53,18.01,17.52,18.0,221900.0,221900.0,-0.47,-2.681,17.84333,"June 19, 14",-0.02681
2014-06-20,18.1,18.29,16.97,17.56,324900.0,324900.0,0.54,2.983,17.60667,"June 20, 14",0.02983
2014-06-23,17.49,18.4,17.21,17.99,135300.0,135300.0,-0.5,-2.859,17.86667,"June 23, 14",-0.02859
2014-06-24,17.81,18.03,17.53,17.81,106300.0,106300.0,0.0,0.0,17.79,"June 24, 14",0.0
2014-06-25,17.93,18.02,17.5,17.94,99800.0,99800.0,-0.01,-0.056,17.82,"June 25, 14",-0.00056
2014-06-26,17.9,18.0,17.57,17.68,77100.0,77100.0,0.22,1.229,17.75,"June 26, 14",0.01229
2014-06-27,17.67,18.4,17.16,17.16,1136800.0,1136800.0,0.51,2.886,17.57333,"June 27, 14",0.02886
2014-06-30,17.27,17.6,16.34,17.38,284000.0,284000.0,-0.11,-0.637,17.10667,"June 30, 14",-0.00637
2014-07-01,17.4,17.5,17.0,17.3,152800.0,152800.0,0.1,0.575,17.26667,"July 01, 14",0.00575
2014-07-02,17.37,17.37,16.31,16.43,193600.0,193600.0,0.94,5.412,16.70333,"July 02, 14",0.05412
2014-07-03,16.43,16.71,16.16,16.51,88100.0,88100.0,-0.08,-0.487,16.46,"July 03, 14",-0.00487
2014-07-07,16.51,16.51,15.5,15.79,235600.0,235600.0,0.72,4.361,15.93333,"July 07, 14",0.04361
2014-07-08,15.85,16.47,15.55,16.38,202600.0,202600.0,-0.53,-3.344,16.13333,"July 08, 14",-0.03344
2014-07-09,16.48,16.48,15.71,16.05,157400.0,157400.0,0.43,2.609,16.08,"July 09, 14",0.02609
2014-07-10,15.81,16.34,15.5,16.08,232300.0,232300.0,-0.27,-1.708,15.97333,"July 10, 14",-0.01708
2014-07-11,16.05,16.08,15.65,15.94,184900.0,184900.0,0.11,0.685,15.89,"July 11, 14",0.00685
2014-07-14,16.04,16.59,16.04,16.48,106200.0,106200.0,-0.44,-2.743,16.37,"July 14, 14",-0.02743
2014-07-15,16.51,17.19,16.33,17.06,168400.0,168400.0,-0.55,-3.331,16.86,"July 15, 14",-0.03331
2014-07-16,17.01,17.39,16.82,17.15,227700.0,227700.0,-0.14,-0.823,17.12,"July 16, 14",-0.00823
2014-07-17,17.16,17.74,17.05,17.14,249500.0,249500.0,0.02,0.117,17.31,"July 17, 14",0.00117
2014-07-18,17.14,17.77,17.14,17.64,253100.0,253100.0,-0.5,-2.917,17.51667,"July 18, 14",-0.02917
2014-07-21,17.62,17.88,17.19,17.32,164900.0,164900.0,0.3,1.703,17.46333,"July 21, 14",0.01703
2014-07-22,17.33,17.88,17.0,17.26,133200.0,133200.0,0.07,0.404,17.38,"July 22, 14",0.00404
