date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,1574.099976,1581.530029,1563.77002,1581.530029,434140000,434140000,-7.43005,-0.472,1575.61003,2-Jan-98,-0.00472
1998-01-05,1585.77002,1602.51001,1582.98999,1594.119995,681560000,681560000,-8.34998,-0.527,1593.20667,5-Jan-98,-0.00527
1998-01-06,1588.069946,1594.119995,1576.26001,1580.140015,635700000,635700000,7.92993,0.499,1583.50667,6-Jan-98,0.00499
1998-01-07,1574.01001,1580.140015,1547.52002,1561.699951,691340000,691340000,12.31006,0.782,1563.12,7-Jan-98,0.00782
1998-01-08,1555.910034,1566.560059,1550.699951,1555.540039,645050000,645050000,0.37,0.024,1557.60002,8-Jan-98,0.00024
1998-01-09,1555.540039,1555.660034,1497.369995,1503.219971,813460000,813460000,52.32007,3.363,1518.75,9-Jan-98,0.03363
1998-01-12,1482.01001,1507.719971,1465.609985,1507.579956,698330000,698330000,-25.56995,-1.725,1493.63664,12-Jan-98,-0.01725
1998-01-13,1519.619995,1542.180054,1519.619995,1541.630005,742030000,742030000,-22.01001,-1.448,1534.47668,13-Jan-98,-0.01448
1998-01-14,1549.800049,1550.709961,1535.97998,1548.76001,691680000,691680000,1.04004,0.067,1545.14998,14-Jan-98,0.00067
1998-01-15,1545.819946,1554.849976,1541.290039,1547.060059,659450000,659450000,-1.24011,-0.08,1547.73336,15-Jan-98,-0.0008
1998-01-16,1557.689941,1564.959961,1557.689941,1562.880005,701230000,701230000,-5.19006,-0.333,1561.8433,16-Jan-98,-0.00333
1998-01-20,1567.800049,1590.140015,1567.800049,1590.140015,715490000,715490000,-22.33997,-1.425,1582.69336,20-Jan-98,-0.01425
1998-01-21,1583.400024,1590.47998,1578.430054,1587.920044,716850000,716850000,-4.52002,-0.285,1585.61003,21-Jan-98,-0.00285
1998-01-22,1577.880005,1585.050049,1573.280029,1576.51001,660500000,660500000,1.37,0.087,1578.28003,22-Jan-98,0.00087
1998-01-23,1582.52002,1584.949951,1568.180054,1575.930054,647390000,647390000,6.58997,0.416,1576.35335,23-Jan-98,0.00416
1998-01-26,1578.329956,1579.310059,1556.910034,1561.459961,588240000,588240000,16.87,1.069,1565.89335,26-Jan-98,0.01069
1998-01-27,1562.22998,1580.040039,1559.26001,1578.900024,680550000,680550000,-16.67004,-1.067,1572.73336,27-Jan-98,-0.01067
1998-01-28,1586.48999,1611.5,1586.48999,1610.819946,777610000,777610000,-24.32996,-1.534,1602.93665,28-Jan-98,-0.01534
1998-01-29,1609.079956,1629.540039,1608.349976,1619.48999,827970000,827970000,-10.41003,-0.647,1619.12667,29-Jan-98,-0.00647
1998-01-30,1624.530029,1628.199951,1615.420044,1619.359985,729510000,729510000,5.17004,0.318,1620.99333,30-Jan-98,0.00318
1998-02-02,1640.060059,1653.939941,1640.060059,1652.890015,808120000,808120000,-12.82996,-0.782,1648.96334,2-Feb-98,-0.00782
1998-02-03,1654.22998,1666.540039,1649.310059,1666.339966,764140000,764140000,-12.10999,-0.732,1660.73002,3-Feb-98,-0.00732
1998-02-04,1663.459961,1681.170044,1661.109985,1680.439941,820450000,820450000,-16.97998,-1.021,1674.23999,4-Feb-98,-0.01021
1998-02-05,1692.219971,1701.199951,1675.099976,1676.900024,865990000,865990000,15.31995,0.905,1684.39998,5-Feb-98,0.00905
1998-02-06,1675.51001,1694.560059,1675.400024,1694.349976,753820000,753820000,-18.83997,-1.124,1688.10335,6-Feb-98,-0.01124
1998-02-09,1699.920044,1701.579956,1686.209961,1690.430054,688620000,688620000,9.48999,0.558,1692.73999,9-Feb-98,0.00558
1998-02-10,1692.290039,1713.540039,1692.109985,1709.040039,835560000,835560000,-16.75,-0.99,1704.89669,10-Feb-98,-0.0099
1998-02-11,1708.98999,1714.150024,1703.780029,1708.550049,760090000,760090000,0.43994,0.026,1708.8267,11-Feb-98,0.00026
1998-02-12,1702.890015,1714.619995,1692.369995,1714.339966,769560000,769560000,-11.44995,-0.672,1707.10999,12-Feb-98,-0.00672
1998-02-13,1709.400024,1715.109985,1707.599976,1710.420044,683180000,683180000,-1.02002,-0.06,1711.04334,13-Feb-98,-0.0006
1998-02-17,1721.02002,1723.400024,1700.910034,1703.430054,691970000,691970000,17.58997,1.022,1709.2467,17-Feb-98,0.01022
1998-02-18,1702.790039,1715.73999,1701.359985,1715.72998,687480000,687480000,-12.93994,-0.76,1710.94332,18-Feb-98,-0.0076
1998-02-19,1723.900024,1730.880005,1717.469971,1727.01001,738870000,738870000,-3.10999,-0.18,1725.12,19-Feb-98,-0.0018
1998-02-20,1731.839966,1731.839966,1713.839966,1728.130005,745760000,745760000,3.70996,0.214,1724.60331,20-Feb-98,0.00214
1998-02-23,1744.209961,1751.76001,1735.569946,1751.76001,731710000,731710000,-7.55005,-0.433,1746.36332,23-Feb-98,-0.00433
1998-02-24,1755.75,1757.959961,1738.709961,1738.709961,774920000,774920000,17.04004,0.971,1745.12663,24-Feb-98,0.00971
1998-02-25,1746.839966,1766.660034,1746.72998,1766.47998,845060000,845060000,-19.64001,-1.124,1759.95666,25-Feb-98,-0.01124
1998-02-26,1766.709961,1777.130005,1763.859985,1777.109985,782680000,782680000,-10.40002,-0.589,1772.69999,26-Feb-98,-0.00589
1998-02-27,1778.02002,1783.73999,1769.98999,1770.51001,816160000,816160000,7.51001,0.422,1774.74666,27-Feb-98,0.00422
1998-03-02,1778.719971,1781.069946,1756.939941,1758.540039,747030000,747030000,20.17993,1.135,1765.51664,2-Mar-98,0.01135
1998-03-03,1748.959961,1757.180054,1741.150024,1757.140015,783120000,783120000,-8.18005,-0.468,1751.82336,3-Mar-98,-0.00468
1998-03-04,1750.47998,1762.319946,1748.569946,1759.699951,731200000,731200000,-9.21997,-0.527,1756.86328,4-Mar-98,-0.00527
1998-03-05,1714.589966,1714.589966,1708.47998,1711.920044,874260000,874260000,2.66992,0.156,1711.66333,5-Mar-98,0.00156
1998-03-06,1722.589966,1753.48999,1722.589966,1753.48999,791520000,791520000,-30.90002,-1.794,1743.18998,6-Mar-98,-0.01794
1998-03-09,1747.939941,1747.939941,1725.160034,1725.160034,739340000,739340000,22.77991,1.303,1732.75334,9-Mar-98,0.01303
1998-03-10,1741.579956,1748.660034,1741.579956,1748.51001,799920000,799920000,-6.93005,-0.398,1746.25,10-Mar-98,-0.00398
1998-03-11,1756.030029,1763.400024,1756.030029,1756.849976,838450000,838450000,-0.81995,-0.047,1758.76001,11-Mar-98,-0.00047
1998-03-12,1763.709961,1766.22998,1749.780029,1764.060059,756150000,756150000,-0.3501,-0.02,1760.02336,12-Mar-98,-0.0002
1998-03-13,1775.01001,1780.900024,1768.619995,1771.660034,752290000,752290000,3.34998,0.189,1773.72668,13-Mar-98,0.00189
1998-03-16,1779.410034,1788.400024,1779.410034,1788.180054,690210000,690210000,-8.77002,-0.493,1785.33004,16-Mar-98,-0.00493
1998-03-17,1787.939941,1788.810059,1769.930054,1779.300049,799940000,799940000,8.63989,0.483,1779.34672,17-Mar-98,0.00483
1998-03-18,1772.73999,1788.73999,1768.780029,1788.280029,757120000,757120000,-15.54004,-0.877,1781.93335,18-Mar-98,-0.00877
1998-03-19,1789.550049,1799.97998,1789.550049,1799.97998,789290000,789290000,-10.42993,-0.583,1796.50334,19-Mar-98,-0.00583
1998-03-20,1803.280029,1807.030029,1788.859985,1789.160034,756320000,756320000,14.12,0.783,1795.01668,20-Mar-98,0.00783
1998-03-23,1784.949951,1798.319946,1783.189941,1792.51001,731510000,731510000,-7.56006,-0.424,1791.33997,23-Mar-98,-0.00424
1998-03-24,1796.839966,1813.449951,1796.839966,1812.439941,803810000,803810000,-15.59998,-0.868,1807.57662,24-Mar-98,-0.00868
