date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-12-31,13852.599609,13915.740234,13843.980469,13913.030273,2893810000.0,2893810000.0,-60.43066,-0.436,13890.91699,"December 31, 19",-0.00436
2019-12-30,13951.259766,13952.780273,13864.570313,13876.150391,3013290000.0,3013290000.0,75.10938,0.538,13897.83366,"December 30, 19",0.00538
2019-12-27,13976.849609,13978.610352,13928.150391,13944.139648,2428670000.0,2428670000.0,32.70996,0.234,13950.30013,"December 27, 19",0.00234
2019-12-26,13911.160156,13941.55957,13895.200195,13940.419922,2160680000.0,2160680000.0,-29.25977,-0.21,13925.72656,"December 26, 19",-0.0021
2019-12-24,13902.959961,13902.959961,13885.55957,13895.139648,1296540000.0,1296540000.0,7.82031,0.056,13894.55306,"December 24, 19",0.00056
2019-12-23,13906.870117,13908.160156,13888.589844,13899.990234,3060610000.0,3060610000.0,6.87988,0.049,13898.91341,"December 23, 19",0.00049
2019-12-20,13831.669922,13914.280273,13831.669922,13889.25,6454270000.0,6454270000.0,-57.58008,-0.416,13878.40007,"December 20, 19",-0.00416
2019-12-19,13801.730469,13838.990234,13798.780273,13831.669922,3720450000.0,3720450000.0,-29.93945,-0.217,13823.14681,"December 19, 19",-0.00217
2019-12-18,13805.200195,13819.700195,13790.240234,13799.209961,4014080000.0,4014080000.0,5.99023,0.043,13803.05013,"December 18, 19",0.00043
2019-12-17,13795.150391,13813.30957,13787.719727,13795.349609,3837540000.0,3837540000.0,-0.19922,-0.001,13798.79297,"December 17, 19",-1e-05
2019-12-16,13781.650391,13825.759766,13781.650391,13795.150391,4051790000.0,4051790000.0,-13.5,-0.098,13800.85352,"December 16, 19",-0.00098
2019-12-13,13711.25,13773.129883,13655.450195,13697.339844,3736870000.0,3736870000.0,13.91016,0.101,13708.63997,"December 13, 19",0.00101
2019-12-12,13587.700195,13725.349609,13581.080078,13697.410156,3990690000.0,3990690000.0,-109.70996,-0.807,13667.94661,"December 12, 19",-0.00807
2019-12-11,13554.089844,13590.740234,13547.679688,13579.919922,3252540000.0,3252540000.0,-25.83008,-0.191,13572.77995,"December 11, 19",-0.00191
2019-12-10,13551.0,13574.219727,13521.240234,13545.30957,3343790000.0,3343790000.0,5.69043,0.042,13546.92318,"December 10, 19",0.00042
