symbol,2019-03-22,2019-02-28,2019-01-31,2018-12-31,2018-11-30,2018-10-31,2018-09-28,2018-08-31,2018-07-31,2018-06-29,2018-05-31,2018-04-30,2018-03-29,2018-02-28,2018-01-31,2017-12-29,2017-11-30,2017-10-31,2017-09-29,2017-08-31,2017-07-31,2017-06-30,2017-05-31,2017-04-28,2017-03-31,2017-02-28,2017-01-31,2016-12-30,2016-11-30,2016-10-31,2016-09-30,2016-08-31,2016-07-29,2016-06-30,2016-05-31,2016-04-29,2016-03-31,2016-02-29,2016-01-29,2015-12-31,2015-11-30,2015-10-30,2015-09-30,2015-08-31,2015-07-31,2015-06-30,2015-05-29,2015-04-30,2015-03-31,2015-02-27,2015-01-30,2014-12-31,2014-11-28,2014-10-31,2014-09-30,2014-08-29,2014-07-31,2014-06-30,2014-05-30,2014-04-30,2014-03-31,2014-02-28,2014-01-31,2013-12-31,2013-11-29,2013-10-31,2013-09-30,2013-08-30,2013-07-31,2013-06-28,2013-05-31,2013-04-30,2013-03-28,2013-02-28,2013-01-31,2012-12-31,2012-11-30,2012-10-31,2012-09-28,2012-08-31,2012-07-31,2012-06-29,2012-05-31,2012-04-30,2012-03-30,2012-02-29,2012-01-31,2011-12-30,2011-11-30,2011-10-31,2011-09-30,2011-08-31,2011-07-29,2011-06-30,2011-05-31,2011-04-29,2011-03-31,2011-02-28,2011-01-31,2010-12-31,2010-11-30,2010-10-29,2010-09-30,2010-08-31,2010-07-30,2010-06-30,2010-05-28,2010-04-30,2010-03-31,2010-02-26,2010-01-29,2009-12-31,2009-11-30,2009-10-30,2009-09-30,2009-08-31,2009-07-31,2009-06-30,2009-05-29,2009-04-30,2009-03-31,2009-02-27,2009-01-30,2008-12-31,2008-11-28,2008-10-31,2008-09-30,2008-08-29,2008-07-31,2008-06-30,2008-05-30,2008-04-30,2008-03-31,2008-02-29,2008-01-31,2007-12-31,2007-11-30,2007-10-31,2007-09-28,2007-08-31,2007-07-31,2007-06-29,2007-05-31,2007-04-30,2007-03-30,2007-02-28,2007-01-31,2006-12-29,2006-11-30,2006-10-31,2006-09-29,2006-08-31,2006-07-31,2006-06-30,2006-05-31,2006-04-28,2006-03-31,2006-02-28,2006-01-31,2005-12-30,2005-11-30,2005-10-31,2005-09-30,2005-08-31,2005-07-29,2005-06-30,2005-05-31,2005-04-29,2005-03-31,2005-02-28,2005-01-31,2004-12-31,2004-11-30,2004-10-29,2004-09-30,2004-08-31,2004-07-30,2004-06-30,2004-05-28,2004-04-30,2004-03-31,2004-02-27,2004-01-30,2003-12-31,2003-11-28,2003-10-31,2003-09-30,2003-08-29,2003-07-31,2003-06-30,2003-05-30,2003-04-30,2003-03-31,2003-02-28,2003-01-31,2002-12-31,2002-11-29,2002-10-31,2002-09-30,2002-08-30,2002-07-31,2002-06-28,2002-05-31,2002-04-30,2002-03-28,2002-02-28,2002-01-31,2001-12-31,2001-11-30,2001-10-31,2001-09-28,2001-08-31,2001-07-31,2001-06-29,2001-05-31,2001-04-30,2001-03-30,2001-02-28,2001-01-31,2000-12-29,2000-11-30,2000-10-31,2000-09-29,2000-08-31,2000-07-31,2000-06-30,2000-05-31,2000-04-28,2000-03-31,2000-02-29,2000-01-31,1999-12-31,1999-11-30,1999-10-29,1999-09-30,1999-08-31,1999-07-30,1999-06-30,1999-05-28,1999-04-30,1999-03-31,1999-02-26,1999-01-29,1998-12-31,1998-11-30,1998-10-30,1998-09-30,1998-08-31,1998-07-31,1998-06-30,1998-05-29,1998-04-30,1998-03-31,1998-02-27,
ATVI,46.8700,42.1400,47.2400,46.5700,49.8800,69.0500,83.1900,72.1000,73.4200,76.3200,70.9100,66.3500,67.4600,73.1300,74.1300,63.3200,62.4000,65.4900,64.5100,65.5600,61.7800,57.5700,58.5800,52.2500,49.8600,45.1300,40.2100,36.1100,36.6100,43.1700,44.3000,41.3700,40.1600,39.6300,39.2600,34.4700,33.8400,31.6700,34.8200,38.7100,37.6600,34.7600,30.8900,28.6300,25.7900,24.2100,25.2600,22.8150,22.7250,23.3200,20.8950,20.1500,21.6500,19.9500,20.7900,23.5400,22.3800,22.3000,20.7800,20.0100,20.4400,19.3500,17.1300,17.8300,17.2100,16.6800,16.6800,16.3200,17.9800,14.2600,14.4300,14.9600,14.5700,14.2950,11.4000,10.6200,11.4550,10.8850,11.2750,11.7600,12.0300,11.9900,11.7400,12.8750,12.8200,11.9500,12.3400,12.3200,12.4200,13.3900,11.9000,11.8500,11.8400,11.6800,11.9900,11.3800,10.9700,11.1200,11.2900,12.4400,11.7400,11.4600,10.8200,10.6750,11.8800,10.4900,10.7500,11.0800,12.0500,10.6300,10.1600,11.1100,11.3900,10.8300,12.3900,11.6100,11.4500,12.6300,12.0800,10.7700,10.4600,10.0300,8.7600,8.6400,11.7000,12.4600,15.4300,32.8200,35.9800,34.0700,33.7500,27.0500,27.3100,27.2200,25.8700,29.7000,22.1500,23.6500,21.5900,19.4900,17.1100,18.6700,19.7900,20.0000,18.9400,16.7200,17.0200,17.2400,17.0000,15.4200,15.1000,12.9000,11.9500,11.3800,13.0800,14.1900,13.7900,12.5000,14.3400,13.7400,13.3100,15.7700,20.4500,22.3500,20.3500,16.5200,15.8000,14.4600,14.8000,21.8600,22.6000,20.1800,15.7200,14.4800,13.8700,14.3900,14.6500,15.9000,15.8200,15.0700,15.8200,21.0100,18.9000,18.2100,15.3700,15.0900,11.9700,12.9100,11.7700,12.8700,16.9800,15.3000,14.4500,14.9000,14.5500,14.5900,21.6000,20.5000,23.9300,27.8700,28.7200,29.0600,32.6200,31.4800,29.8300,28.5600,26.2800,26.0100,24.8500,36.1500,27.2200,37.0500,33.9200,39.2500,34.0600,27.2600,24.3100,22.9400,18.1300,15.1300,10.3700,13.8100,15.0000,14.0000,8.7500,6.5000,6.1900,6.2500,12.0600,12.6900,15.6200,15.3100,15.0200,14.1200,17.6200,14.5000,13.6900,14.5600,13.3700,10.4400,12.3800,10.8800,12.5000,11.1200,13.3700,10.5600,11.2500,10.1200,12.6200,10.3100,10.0600,10.8800,10.7500,13.8100,
ADBE,259.6900,262.5000,247.8200,226.2400,250.8900,245.7600,269.9500,263.5100,244.6800,243.8100,249.2800,221.6000,216.0800,209.1300,199.7600,175.2400,181.4700,175.1600,149.1800,155.1600,146.4900,141.4400,141.8600,133.7400,130.1300,118.3400,113.3800,102.9500,102.8100,107.5100,108.5400,102.3100,97.8600,95.7900,99.4700,94.2200,93.8000,85.1500,89.1300,93.9400,91.4600,88.6600,82.2200,78.5700,81.9900,81.0100,79.0900,76.0600,73.9400,79.1000,70.1300,72.7000,73.6800,70.1200,69.1900,71.9000,69.2499,72.3600,64.5400,61.6900,65.7400,68.6300,59.1900,59.8790,56.7800,54.2200,51.9400,45.7500,47.2800,45.5600,42.9100,45.0800,43.5150,39.3100,37.8300,37.6800,34.6100,34.0250,32.4350,31.2700,30.8800,32.3700,31.0500,33.5500,34.3100,32.8900,30.9500,28.2700,27.4200,29.4100,24.1700,25.2400,27.7100,31.4500,34.6300,33.5500,33.1600,34.5000,33.0500,30.7800,27.8000,28.1500,26.1500,27.7000,28.7200,26.4300,32.0800,33.6000,35.3700,34.6500,32.3000,36.7800,35.0800,32.9400,33.0400,31.4200,32.4200,28.3000,28.1800,27.3500,21.3900,16.7000,19.3100,21.2900,23.1600,26.6400,39.4700,42.8300,41.3500,39.3900,44.0600,37.2900,35.5900,33.6500,34.9300,42.7300,42.1400,47.9000,43.6600,42.7500,40.2900,40.1500,44.0601,41.5600,41.7000,39.2500,38.8700,41.1200,40.1600,38.2500,37.4600,32.4400,28.5100,30.3600,28.6300,39.2000,34.9500,38.5500,39.7300,36.9600,32.6100,32.2500,29.8500,27.0400,29.6400,28.6100,33.1200,59.4700,67.1700,61.7500,56.9000,62.7400,60.5600,56.0300,49.4700,45.8700,42.1800,46.5000,44.6300,41.5000,39.3000,37.2500,38.3000,39.0800,41.3100,43.7600,39.3900,38.8300,32.7300,32.0700,35.3200,34.5300,30.8300,27.5000,26.4200,24.8000,29.5300,23.6400,19.1000,20.1000,23.9600,28.5000,36.1000,39.9600,40.2900,36.3800,33.7000,31.0500,32.0800,26.4000,23.9800,33.6100,37.4900,47.0000,39.7700,44.9200,34.9700,29.0600,43.6900,58.1900,63.3800,76.0600,155.3000,130.0000,114.5000,130.0000,114.5000,120.9000,111.3000,102.0000,55.0600,67.2500,68.6900,69.9400,113.5000,99.6300,85.7500,82.1600,74.1300,63.3800,56.7500,40.2500,47.7500,46.7500,44.7500,37.1300,34.6900,26.2500,32.3100,42.4400,39.9400,50.0600,45.1900,44.1900,
ALTR,36.1900,35.4600,32.3800,27.5800,32.3100,38.1400,43.4500,41.7700,35.1000,34.1800,35.1900,28.9800,31.3600,26.3200,26.6000,23.9200,22.3900,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,53.9600,52.8000,52.5500,50.0800,48.5500,49.6600,51.2000,48.8500,41.6800,42.9100,37.0100,32.9250,36.9400,37.6200,34.3700,35.7800,35.3400,32.7200,34.7600,33.1300,32.5200,36.2350,36.3100,33.4300,32.5110,32.2500,33.6050,37.1600,35.1700,35.5600,32.9900,33.2200,32.0100,35.4600,35.4300,33.4200,34.3900,32.3900,30.4800,34.0000,37.3300,35.4500,33.8400,33.4100,35.5700,39.8200,38.4700,39.7900,37.1000,37.6700,37.9200,31.5300,36.3900,40.8800,46.3500,48.0900,48.7000,44.0200,41.8600,37.5700,35.5800,35.0900,31.2400,30.1600,24.6500,27.7200,24.8100,23.5700,25.3600,24.3000,24.4300,21.3200,22.6300,21.0300,19.7900,20.5100,19.2100,18.6900,16.2900,17.0200,16.3100,17.5500,15.3300,15.3800,16.7100,14.7100,17.3500,20.6800,22.6400,21.9300,20.7000,23.1400,21.2800,18.4300,17.1100,16.8900,19.3200,18.7800,19.6200,24.0800,23.8100,23.2000,22.1300,22.8100,22.5400,19.9900,21.1100,20.0500,19.6800,19.8900,18.4400,18.3800,20.2300,17.3100,17.5500,19.5600,21.8400,20.6400,20.0400,19.3100,18.5300,18.2600,16.6600,19.1100,21.8800,21.8700,19.8000,22.1800,20.7300,19.7800,20.7400,19.2000,20.7000,22.6800,22.7100,19.5700,18.9200,20.8200,22.1600,22.8900,19.9900,20.4800,22.1200,22.4000,22.6500,25.3600,20.2800,18.9300,22.4900,19.1800,16.4300,19.3000,15.8100,13.5400,12.5300,10.9800,12.3400,14.5300,11.7400,8.6700,10.7100,11.8300,13.6000,18.0300,20.5600,21.8700,19.0700,25.1200,21.2200,22.7600,20.2000,16.3800,28.4000,30.0600,29.0000,24.0000,25.2900,21.4400,23.1300,30.2500,26.3100,23.9400,40.9400,47.7500,64.8100,98.1900,101.9000,88.1400,102.3000,89.2500,79.7500,65.7500,49.5600,53.8800,48.6300,43.3800,42.1300,36.2500,36.8100,34.8100,72.2500,59.5000,48.6300,62.8800,60.8800,49.0600,41.6300,35.1300,29.1300,36.4700,29.5600,33.6300,40.5000,37.7500,43.1300,
AMZN,1764.7700,1639.8300,1718.7300,1501.9700,1690.1700,1598.0100,2003.0000,2012.7100,1777.4400,1699.8000,1629.6200,1566.1300,1447.3400,1512.4500,1450.8900,1169.4700,1176.7500,1105.2800,961.3500,980.6000,987.7800,968.0000,994.6200,924.9900,886.5400,845.0400,823.4800,749.8700,750.5700,789.8200,837.3100,769.1600,758.8100,715.6200,722.7900,659.5900,593.6400,552.5200,587.0000,675.8900,664.8000,625.9000,511.8900,512.8900,536.1500,434.0900,429.2300,421.7800,372.1000,380.1600,354.5300,310.3500,338.6400,305.4600,322.4400,339.0400,312.9900,324.7800,312.5500,304.1300,336.3650,362.1000,358.6900,398.7900,393.6200,364.0300,312.6400,280.9800,301.2200,277.6900,269.2000,253.8100,266.4900,264.2700,265.5000,250.8700,252.0500,232.8931,254.3200,248.2700,233.3000,228.3500,212.9100,231.9000,202.5100,179.6900,194.4400,173.1000,192.2900,213.5100,216.2300,215.2300,222.5200,204.4900,196.6900,195.8100,180.1300,173.2900,169.6400,180.0000,175.4000,165.2300,157.0600,124.8300,117.8900,109.2600,125.4600,137.1000,135.7700,118.4000,125.4100,134.5200,135.9100,118.8100,93.3600,81.1900,85.7600,83.6600,77.9900,80.5200,73.4400,64.7900,58.8200,51.2800,42.7000,57.2400,72.7600,80.8100,76.3400,73.3300,81.6200,78.6300,71.3000,64.4700,77.7000,92.6400,90.5600,89.1500,93.1500,79.9100,78.5400,68.4100,69.1400,61.3300,39.7900,39.1400,37.6700,39.4600,40.3400,38.0900,32.1200,30.8300,26.8900,38.6800,34.6100,35.2100,36.5300,37.4400,44.8200,47.1500,48.4600,39.8600,45.3000,42.7000,45.1500,33.0900,35.5100,32.3600,34.2700,35.1800,43.2200,44.2900,39.6800,34.1300,40.8600,38.1400,38.9200,54.4000,48.5000,43.6000,43.2800,43.0100,50.4000,52.6200,53.9700,54.4300,48.4300,46.3200,41.6400,36.3200,35.8900,28.6900,26.0300,22.0100,21.8500,18.8900,23.3500,19.3500,15.9300,14.9400,14.4600,16.2500,18.2300,16.6900,14.3000,14.1000,14.1900,10.8200,11.3200,6.9800,5.9700,8.9400,12.4900,14.1500,16.6900,15.7800,10.2300,10.1900,17.3100,15.5600,24.6900,36.6300,38.4400,41.5000,30.1300,36.3100,49.9400,55.1900,67.0000,68.8800,64.5600,76.1300,85.0600,70.6300,79.9400,124.4000,100.1000,125.1000,118.8000,172.1000,172.2000,128.1000,116.9000,321.3000,192.0000,126.4000,111.6000,83.7500,110.9000,99.7500,88.1300,91.7500,85.5300,77.0000,
AMGN,186.7000,190.0800,187.1100,194.6700,208.2500,192.7900,207.2900,199.8100,196.5500,184.5900,179.6200,174.4800,170.4800,183.7700,186.0500,173.9000,175.6600,175.2200,186.4500,177.7700,174.5100,172.2300,155.2400,163.3200,164.0700,176.5300,156.6800,146.2100,144.0700,141.1600,166.8100,170.0600,172.0300,152.1500,157.9500,158.3000,149.9300,142.2800,152.7300,162.3300,161.1000,158.1800,138.3200,151.7800,176.5900,153.5200,156.2600,157.9100,159.8500,157.7200,152.2600,159.2900,165.3100,162.1800,140.4600,139.3800,127.3900,118.3700,115.9900,111.7500,123.3400,124.0200,118.9500,114.0800,114.0800,116.1400,111.9250,108.9400,108.2900,98.6600,100.5300,104.2100,102.5100,91.5500,85.4600,86.2000,88.8000,86.4900,84.2900,83.9200,82.6000,72.9100,69.5200,71.1100,67.9700,68.0100,67.9300,64.2100,57.9100,57.2700,54.9600,55.4050,54.7000,58.3500,60.5400,56.8500,53.4500,51.3300,55.0800,54.9000,52.6900,57.1900,55.1100,51.0400,54.5300,52.6000,51.7800,57.3100,59.8375,56.6100,58.4800,56.5700,56.3500,53.6200,60.2300,59.7800,62.3100,52.9400,49.9400,48.4700,49.5200,48.9300,54.8500,57.7500,55.5400,59.8900,59.2700,62.8500,62.6300,47.1600,44.0300,41.8700,41.7800,45.5200,46.5900,46.4400,55.2500,58.1100,56.5700,50.1100,53.7400,55.2900,56.4500,64.1400,55.8800,64.2600,70.3700,68.3100,71.0400,75.9100,71.5300,68.0300,69.7100,65.2300,67.5900,67.7000,72.7500,75.4800,72.8900,78.8600,80.9300,75.6200,79.6700,79.9000,79.7700,60.4600,62.5800,58.2100,58.2100,61.6100,62.2400,64.1500,60.0400,56.8000,56.8100,59.2900,56.8800,54.5700,54.7000,56.4100,58.1500,63.5290,64.6600,61.7900,57.6200,61.7600,64.5200,65.9400,69.4300,65.9400,64.7400,61.3000,57.5500,54.6400,50.9600,48.3400,47.2000,46.5800,41.7000,45.0300,45.6400,41.8800,47.6300,52.8800,59.6800,57.9800,55.5000,56.4400,66.4300,56.8200,58.7700,64.3000,62.7100,60.6800,66.3800,61.1400,60.1900,72.0600,70.3100,63.9400,63.6300,57.9400,69.8300,75.8100,64.9400,70.2500,63.6300,56.0000,61.3800,68.1900,63.6900,60.0600,45.5600,79.7500,81.5000,83.1900,76.8800,60.8800,63.2500,61.4400,74.8800,124.9000,127.8000,104.5000,75.2500,78.5600,75.5600,60.8800,73.4400,65.3800,60.5000,59.6300,60.8800,53.1300,
APOL,9.9950,9.9900,9.9000,8.7900,7.9500,8.8700,8.9900,9.1200,9.1900,7.1100,7.8550,8.1100,
AAPL,191.0500,173.1500,166.4400,157.7400,178.5800,218.8600,225.7400,227.6300,190.2900,185.1100,186.8700,165.2600,167.7800,178.1200,167.4300,169.2300,171.8500,169.0400,154.1200,164.0000,148.7300,144.0200,152.7600,143.6500,143.6600,136.9900,121.3500,115.8200,110.5200,113.5400,113.0500,106.1000,104.2100,95.6000,99.8600,93.7400,108.9900,96.6900,97.3400,105.2600,118.3000,119.5000,110.3000,112.7600,121.3000,125.4250,130.2800,125.1500,124.4300,128.4600,117.1600,110.3800,118.9300,108.0000,100.7500,102.5000,95.6000,92.9300,633.0000,590.0900,536.7400,526.2400,500.6000,561.0200,556.0700,522.7020,476.7500,487.2160,452.5300,396.5300,449.7350,442.7800,442.6600,441.4000,455.4900,532.1729,585.2800,595.3200,667.1050,665.2400,610.7600,584.0000,577.7300,583.9800,599.5500,542.4400,456.4800,405.0000,382.2000,404.7800,381.3200,384.8300,390.4800,335.6700,347.8300,350.1300,348.5075,353.2100,339.3200,322.5600,311.1500,300.9800,283.7500,243.1000,257.2500,251.5300,256.8800,261.0900,235.0000,204.6200,192.0630,210.7320,199.9100,188.5000,185.3500,168.2100,163.3900,142.4300,135.8100,125.8300,105.1200,89.3100,90.1300,85.3500,92.6700,107.5900,113.6600,169.5300,158.9500,167.4400,188.7500,173.9500,143.5000,125.0200,135.3600,198.0800,182.2200,189.9500,153.4700,138.4800,131.7600,122.0400,121.1910,99.8000,92.9100,84.6100,85.7300,84.8400,91.6600,81.0800,76.9800,67.8500,67.9600,57.2700,59.7700,70.3900,62.7200,68.4900,75.5100,71.8900,67.8200,57.5900,53.6100,46.8900,42.6500,36.8100,39.7593,36.0600,41.6700,44.8600,76.9000,64.4000,67.0500,52.4000,38.7500,34.4900,32.3400,32.5400,28.0600,25.7800,27.0400,23.9200,22.5600,21.3700,20.9100,22.8900,20.7200,22.6100,21.0800,19.0600,17.9500,14.2200,14.1400,15.0100,14.3600,14.3300,15.5000,16.0700,14.5000,14.7500,15.2600,17.7200,23.3000,24.2700,23.6700,21.7000,24.7200,21.9000,21.3000,17.5600,15.5100,18.5500,18.7900,23.2500,19.9500,25.4900,22.0700,18.2500,21.6200,14.8800,16.5000,19.5600,25.7500,60.9400,50.8100,52.3800,84.0000,124.0600,135.8100,114.6200,103.7500,102.8100,97.8700,80.1200,63.3100,65.2500,55.6900,46.3100,44.0600,46.0000,35.9400,34.8100,41.1900,40.9400,31.9400,37.1300,38.1300,31.1900,34.6300,28.6900,26.6200,27.3700,27.5000,23.6200,
AMAT,39.8600,38.3400,39.0800,32.7400,37.2800,32.8800,38.6500,43.0200,48.6300,46.1900,50.7800,49.6700,55.6100,57.5900,53.6300,51.1200,52.7700,56.4300,52.0900,45.1200,44.3100,41.3100,45.8800,40.6100,38.9000,36.2200,34.2500,32.2700,32.2000,29.0800,30.1500,29.8400,26.2900,23.9700,24.4200,20.4700,21.1800,18.8700,17.6500,18.6700,18.7700,16.7700,14.6900,16.0850,17.3600,19.2200,20.1300,19.7900,22.5600,25.0500,22.8400,24.9200,24.0500,22.0900,21.6100,23.1050,20.9600,22.5500,20.1900,19.0600,20.4150,18.9600,16.8200,17.6800,17.3000,17.8550,17.5310,15.0100,16.3150,14.9200,15.2000,14.5100,13.4800,13.7050,12.9100,11.4400,10.7300,10.6000,11.1650,11.6900,10.8900,11.4450,10.3300,11.9900,12.4450,12.2500,12.2750,10.7100,10.7800,12.3200,10.3550,11.3200,12.3200,13.0100,13.7800,15.6900,15.6200,16.4300,15.6900,14.0500,12.4250,12.3500,11.6800,10.3700,11.8000,12.0200,12.9200,13.7800,13.4675,12.2400,12.1800,13.9400,12.3100,12.2000,13.3800,13.1800,13.8000,11.0100,11.2600,12.2100,10.7500,9.2100,9.3700,10.1300,9.5800,12.9100,15.1300,17.9200,17.3200,19.0900,19.8100,18.6600,19.5100,19.1700,17.9200,17.7600,18.8300,19.4200,20.7000,21.3600,22.0400,19.8700,19.1000,19.2200,18.3200,18.5700,17.7300,18.4500,18.0100,17.3900,17.7300,16.9000,15.7600,16.2800,16.9100,17.9500,17.5100,18.3200,19.0500,17.9400,18.1100,16.3600,16.9600,18.3200,18.4800,16.1800,16.4200,14.8700,16.2500,17.4500,15.9000,17.1000,16.6400,16.1000,16.4900,15.8900,16.9700,19.6200,19.9700,18.2700,21.3300,21.2500,21.6900,22.4400,24.2400,23.3300,18.1300,21.6300,19.4600,15.8400,15.5600,14.6200,12.5800,12.9800,11.9700,13.0300,17.0500,15.0300,11.5500,13.3600,14.8700,19.0200,22.1800,24.3200,54.2700,43.4700,43.6500,40.1000,39.7400,34.1100,28.4400,43.0900,45.8600,49.1000,49.9300,54.6000,43.5000,42.2500,50.3100,38.1900,40.4400,53.1300,59.3100,86.3100,75.8800,90.6300,83.3800,101.8000,94.2500,182.9000,137.3000,126.7000,97.4400,89.8100,77.6900,71.0600,71.9400,73.8800,55.0000,53.6300,61.6900,55.6300,63.1900,42.6900,38.7500,34.6900,25.2500,24.5600,33.5000,29.5000,32.0000,36.1300,35.3100,36.8100,
ADSK,154.2200,163.0100,147.2000,128.6100,144.5000,129.2500,156.1100,154.3500,128.4400,131.0900,129.1000,125.9000,125.5800,117.4700,115.6200,104.8300,109.7000,124.9600,112.2600,114.4600,110.7900,100.8200,111.7700,90.0700,86.4700,86.3000,81.3400,74.0100,72.6100,72.2800,72.3300,67.4000,59.4500,54.1400,58.2700,59.8200,58.3100,51.7400,46.8200,60.9300,63.4700,55.1900,44.1400,46.7500,50.5800,50.0750,54.1500,56.8300,58.6400,64.2400,54.0050,60.0600,62.0000,57.5400,55.1000,53.6400,53.3500,56.3800,52.3700,48.0200,49.1800,52.4800,51.2500,50.3190,45.2500,39.9000,41.1700,36.7500,35.3900,33.9400,37.7300,39.3800,41.2500,36.7200,38.8800,35.3500,33.1300,31.8520,33.3500,31.0500,33.9200,34.9900,32.0200,39.3700,42.3200,37.8500,36.0000,30.3300,34.0700,34.6000,27.7900,28.2000,34.4000,38.6000,42.9800,44.9800,44.1100,42.0500,40.6800,38.2000,35.2900,36.1975,31.9700,27.7300,29.5400,24.3600,29.2600,33.9900,29.3800,27.8800,23.7900,25.4100,23.4500,24.9300,23.8000,23.4300,21.8100,18.9800,21.4600,19.9400,16.8100,12.6900,16.5600,19.6500,16.5900,21.3100,33.5500,35.5300,31.8900,33.8100,41.1600,38.0000,31.4800,31.0900,41.1500,49.7600,47.0900,48.9000,49.9700,46.3200,42.3700,47.0800,45.4500,41.2700,37.6000,41.1500,43.7200,40.4600,41.1800,36.7500,34.7800,34.7600,34.1100,34.4600,36.3900,42.0400,38.5200,37.6500,40.5900,42.9300,41.7700,45.1200,46.4400,43.2000,34.1900,34.3400,39.5800,31.8300,29.7600,29.7200,29.3700,37.9500,65.4100,52.7500,48.6300,44.4100,40.2000,42.8100,35.8600,33.5100,31.5200,28.7600,25.6900,24.5800,23.1700,19.3100,17.0200,17.9000,14.9100,16.1600,14.9400,15.5600,15.2600,14.4900,14.9400,14.3000,15.4900,11.7000,12.6700,13.3000,12.8900,13.2500,13.5000,18.3900,46.6900,44.1700,41.0000,37.2700,37.2000,33.2200,32.0600,38.3400,37.2900,37.3000,30.5300,34.8600,30.5600,38.1300,36.8800,26.9400,25.8100,22.0600,25.3800,28.1300,21.6300,34.6900,37.2500,38.3800,45.5000,44.6900,30.5600,33.7500,29.3100,18.7500,21.8800,23.0000,26.5000,29.5600,27.6300,29.7500,40.4400,40.1300,44.1900,42.6900,36.3800,31.1900,26.2500,23.3800,32.7500,38.6300,42.5000,47.0000,43.1300,47.3800,
BBBY,13.7000,16.7300,15.0900,11.3200,12.8800,13.7400,15.0000,17.9400,18.7300,19.9250,18.1600,17.4600,20.9900,21.4400,23.0800,21.9900,22.3900,19.9000,23.4700,27.5900,29.9000,30.4000,34.4100,38.7500,39.4600,40.4000,40.3500,40.6400,44.8100,40.4200,43.1100,46.3700,44.9500,43.2200,44.7500,47.2200,49.6400,47.9500,43.1700,48.2500,54.5200,59.6300,57.0200,62.1100,65.2300,68.9800,71.3200,70.4600,76.7750,74.6600,74.7700,76.1700,73.3700,67.3400,65.8300,64.2600,63.2900,57.3800,60.8500,62.1300,68.8000,67.8200,63.8500,80.3000,78.0300,77.3200,77.3600,73.7400,76.4700,70.9500,68.2500,68.8000,64.4200,56.7500,58.7000,55.9100,58.7200,57.6800,63.0000,67.1700,60.9500,61.8000,72.2500,70.3900,65.7700,59.7400,60.7000,57.9700,60.5100,61.8400,57.3100,56.8600,58.4900,58.3700,53.8900,56.1300,48.2700,48.1500,48.0000,49.1500,43.7400,43.9000,43.4100,35.9700,37.8800,37.0800,44.8700,45.9600,43.7600,41.6100,38.7000,38.6100,37.3600,35.2100,37.5400,36.4800,34.7500,30.7500,28.1100,30.4200,24.7500,21.3000,23.2300,25.4200,20.2900,25.7700,31.4100,30.6600,27.8300,28.1000,31.8600,32.5000,29.5000,28.3400,32.2000,29.3900,31.4500,33.9400,34.1200,34.6400,34.6400,35.9900,40.6600,40.7400,40.1700,39.8900,42.1900,38.1000,38.7800,40.2900,38.2600,33.7300,33.4800,33.1700,35.1700,38.3500,38.4000,36.0400,37.4100,36.1500,42.6000,40.6000,40.1800,40.5500,45.9000,41.7800,40.6500,37.2100,36.5400,37.5200,40.2900,39.8300,39.9280,40.7900,37.1100,37.4200,35.3900,38.4500,37.2600,37.1100,41.9000,40.9300,40.5800,43.3500,42.2400,42.2200,38.2700,43.1300,38.8300,38.8200,41.7900,39.4700,34.5400,33.0400,33.5000,34.5300,34.6900,35.4600,32.5700,32.0600,31.0000,37.7400,34.3000,37.1700,33.7500,33.4000,34.5800,33.9000,32.4700,25.0600,25.4600,28.8500,32.2300,31.2000,29.5700,28.3200,24.5600,24.6300,26.5600,22.3800,20.8100,25.8100,24.3900,17.5600,36.8100,36.2500,36.8100,36.6900,39.3800,28.3800,27.1900,34.7500,31.2500,33.3100,34.9400,27.5000,33.9400,38.5000,34.1900,35.6900,36.5000,29.4400,32.0000,34.1200,31.1900,27.5600,23.3800,18.0600,43.1200,51.8100,50.1900,49.2500,46.1900,43.1900,
