symbol,stock per chang,nasdaq per chang,bigcalc
AMTD,-2.636363636,-0.962552275,-1.673811361
ADP,0.1323043,0.081269095,0.051035205
C,0.27333894,0.209038111,0.064300829
BAC,1.277056277,0.667736576,0.609319701
BAC,-0.36900369,0.854819713,-1.223823403
HPQ,-1.079136691,-0.138936586,-0.940200104
BBVA,1.555136664,3.039705318,-1.484568654
FIS,-0.1460387,0.480564592,-0.626603293
GPS,0.765027322,-0.298572394,1.063599717
AMTD,0.784753363,0.043054485,0.741698879
TJX,-1.537386443,0.214078682,-1.751465125
T,-0.905218317,-0.42773699,-0.477481328
EBAY,-0.467794171,-0.671896704,0.204102533
BK,-1.693766938,-1.765064232,0.071297294
SBUX,7.918263091,6.332939323,1.585323768
ANTM,1.688938382,-0.216008877,1.904947258
VRSN,-0.784313725,-0.387110615,-0.397203111
T,-0.280336404,-0.539948937,0.259612533
BET,15.38461538,-2.634680813,18.0192962
C,-0.399900025,-1.461431616,1.061531591
HMC,0.311688312,-1.207460166,1.519148477
MS,-0.62639821,-1.260262659,0.633864449
SGAMY,1.035196687,-0.2751828,1.310379488
SNE,-1.25,-0.784194589,-0.465805411
SNE,0.150943396,0.148784232,0.002159164
SNE,-1.344262295,0.20282435,-1.547086645
GHC,1.284324532,1.363430453,-0.079105922
BKS,6.094182825,-0.87836764,6.972550465
ATVI,0,0.245409481,-0.245409481
GPN,-9.056098028,-0.122442587,-8.933655441
KT,-0.541795666,-0.74416279,0.202367125
TD,-0.167664671,-1.520718316,1.353053645
ADBE,-1.242236025,-1.066309791,-0.175926234
AAPL,0.320037651,0.356220036,-0.036182384
CHG,-0.045892611,-0.970743674,0.924851063
C,-0.077175381,0.319577602,-0.396752983
WAG,0.048076923,-1.040317876,1.0883948
DNB,0.019234468,-0.189740649,0.208975117
FB,2.635983264,-0.219633995,2.855617258
NTDOY,2.344827586,1.036973979,1.307853608
TER,-1.944608132,0.064306984,-2.008915116
UBSFY,2.34375,-0.031739443,2.375489443
VOD,0.66305003,-0.242684959,0.905734989
CYH,1.294117647,0.971569124,0.322548523
DPZ,0.248756219,0.302958127,-0.054201908
EBAY,-0.153964588,0.845761073,-0.999725662
GOOGL,0.244944845,0.751928825,-0.50698398
HD,-2.513368984,0.391241584,-2.904610568
JPM,-1.555964531,0.183405387,-1.739369918
RELX,-0.706388206,-1.942172076,1.235783869
MAORF,0,-0.256225331,0.256225331
NDAQ,0.828313253,0.530456821,0.297856432
SNE,1.836158192,0.889458666,0.946699526
SVU,0.524109015,0.425565274,0.09854374
TGT,3.081914031,1.152679333,1.929234698
UPS,0.847198122,-0.022745086,0.869943208
ANTM,0.503796729,-0.233516193,0.737312922
CVS,-0.36185996,0.909516217,-1.271376177
HLT,-0.431220354,-1.01341605,0.582195696
VTKLY,-1.339285714,-0.367626024,-0.97165969
WEN,-0.830737279,0.363229497,-1.193966776
BABA,-2.534951605,-0.281383687,-2.253567918
VZ,1.228501229,0.097300762,1.131200466
EFX,0.940660584,0.071325463,0.869335121
BMO,-2.12249073,-0.501224177,-1.621266553
CM,-2.111801242,-0.501224177,-1.610577065
CPCAY,-2.639296188,-4.425389783,1.786093595
FB,-2.594171997,0.054462811,-2.648634808
GOOGL,-1.019840216,-0.674075056,-0.345765161
MAR,-5.589297439,0.790036139,-6.379333578
EXPE,-0.702133405,0.273133372,-0.975266777
UAA,0.122473974,1.643638437,-1.521164462
,,,
,,,
,,,
,,,
,,,
,stock per chang,nasdaq per chang,Market Adjusted
Avg,0.068465431,-0.055118051,0.123583482
Med,-0.061533996,-0.027242265,0.067799062
StdD,2.822101522,1.26772935,2.896557853
