symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,,
AMTD,0.863540431,-1.133144476,FALSE,2.470147256,0.649350649,FALSE,5.756285555,24.73647224,TRUE,17.14751078,40.73049253,TRUE,24.21622941,38.19965378,TRUE,22.87082194,39.5256917,TRUE,
ADP,-4.915996502,-5.776846028,FALSE,-5.671712619,-5.091414025,TRUE,-2.999034448,0.547525186,TRUE,20.76991305,6.755646817,FALSE,7.495745634,-9.23743084,FALSE,-9.410432388,-19.97357992,FALSE,
C,-0.328669918,-0.18907563,TRUE,0.592390018,-0.675533038,FALSE,0.143835959,-2.647438657,FALSE,2.544188467,1.385442514,FALSE,20.26213489,7.018912069,FALSE,7.294069989,-194.564546,FALSE,
BAC,0.251626561,-0.021376657,FALSE,-1.16574874,-2.228533974,FALSE,-3.657673763,-5.644615037,FALSE,8.193022748,-2.722283205,FALSE,15.757792,9.391944229,FALSE,12.60526132,-15.90289819,FALSE,
BAC,-6.186714007,-19.11764706,FALSE,-3.387331204,2.026005443,TRUE,-28.06191971,-46.60633484,FALSE,-3.839160421,-83.98637138,FALSE,4.94003327,-146.3878327,FALSE,14.94290754,-420.9003215,FALSE,
HPQ,1.737432388,-1.320233344,FALSE,2.584312947,3.225806452,TRUE,1.822994248,-0.121359223,FALSE,6.927018537,21.05263158,TRUE,1.779812139,30.24730501,TRUE,-34.35926383,9.465020576,TRUE,
BBVA,-2.090733182,2.000909504,TRUE,1.610266985,5.606657906,TRUE,3.375776054,5.812937063,TRUE,-45.18322961,-131.471536,FALSE,7.510462157,-41.31147541,FALSE,18.28912085,-75.48859935,FALSE,
FIS,0.257942292,2.181688126,TRUE,2.02038308,3.527336861,TRUE,-3.566345579,-10.03822169,FALSE,-19.37257121,-176.6818412,FALSE,-34.40537483,-153.8283063,FALSE,-15.57721904,-97.47292419,FALSE,
GPS,2.834927853,2.48545743,FALSE,3.713179497,2.998421883,FALSE,3.662018022,0.913487372,FALSE,-64.21294545,-32.75737941,TRUE,-25.60851549,17.5313059,TRUE,-6.630300083,4.307213285,TRUE,
AMTD,2.584588306,1.587301587,FALSE,3.676478549,1.317233809,FALSE,7.253143799,8.591764108,TRUE,-19.00738833,2.863317126,TRUE,-23.30677362,8.684611478,TRUE,-6.780195914,-8.509354255,FALSE,
TJX,-4.232768005,-2.472727273,TRUE,-6.054814013,-4.564007421,TRUE,-2.544871249,-5.622188906,FALSE,-11.42070406,15.22262335,TRUE,-79.37208061,-17.5145955,TRUE,-5.147530406,34.96422802,TRUE,
T,0.357648687,-4.286915102,FALSE,-3.405843524,-8.608112051,FALSE,-9.577655198,-15.87795766,FALSE,-38.65665771,-54.12008282,FALSE,-17.07388865,-53.23178263,FALSE,11.35604288,-21.71353826,FALSE,
EBAY,1.654166507,-0.54525627,FALSE,-2.031603227,-5.371428571,FALSE,-1.672645148,-0.399274047,TRUE,-74.33571401,-163.4285714,FALSE,2.595810348,-6.507508664,FALSE,14.53137497,9.814150636,FALSE,
BK,2.394034508,2.464709836,TRUE,3.987149633,-1.444884642,FALSE,0.560101649,-6.848306333,FALSE,-34.08418556,-56.24551328,FALSE,-6.175089086,-64.26415094,FALSE,7.713093315,-76.66396104,FALSE,
SBUX,-1.532623138,0.937866354,TRUE,4.867705072,8.845738943,TRUE,3.254598481,8.052230686,TRUE,32.77250524,60.51401869,TRUE,44.30432293,74.226018,TRUE,43.68146695,81.80839612,TRUE,
ANTM,1.01668053,5.010402219,TRUE,2.147323851,8.698550242,TRUE,4.844659563,10.73639622,TRUE,17.15342471,2.038262113,FALSE,16.22693476,18.06490205,TRUE,29.76390996,12.25176169,FALSE,
VRSN,0.633815466,0.978473581,TRUE,1.714287664,-8.467309753,FALSE,2.718593812,3.342884432,TRUE,14.26478547,31.41308031,TRUE,22.09237357,34.26437155,TRUE,36.02868685,57.13680644,TRUE,
T,6.37833058,2.429467085,FALSE,4.23115134,2.122641509,FALSE,0.760770651,-1.343101343,FALSE,17.903829,19.57364341,TRUE,26.44588467,30.17386427,TRUE,40.00694462,30.60200669,FALSE,
BET,2.579312863,-39.92537313,FALSE,9.462682937,-50.45135406,FALSE,11.75492799,-80.28846154,FALSE,20.79123595,99.96863237,TRUE,38.74767111,-76.47058824,FALSE,47.92679935,-172.7272727,FALSE,
C,-3.368348874,-5.089662447,FALSE,-4.444904983,-4.046997389,TRUE,2.956289498,7.066231343,TRUE,3.650846205,-42.78036546,FALSE,19.70087331,16.9272462,FALSE,38.10924984,15.21276596,FALSE,
HMC,-0.89714704,-3.56663985,FALSE,-1.1301911,-2.250463331,FALSE,-7.151598643,-6.891779684,TRUE,0.384235729,-19.9378882,FALSE,18.57636071,-3.483386924,FALSE,35.24624441,-8.391804659,FALSE,
MS,5.793266915,6.523569024,TRUE,5.342508715,-2.919369787,FALSE,6.680390908,4.678111588,FALSE,9.683630285,-57.07213579,FALSE,26.31659426,19.55813111,FALSE,39.0510171,29.71518987,FALSE,
SGAMY,1.372462276,-0.411522634,FALSE,7.086218788,-1.666666667,FALSE,5.375197415,6.513409962,TRUE,8.177253151,4.31372549,FALSE,27.47090117,26.94610778,FALSE,41.19688362,3.557312253,FALSE,
SNE,1.054001968,1.897205933,TRUE,-2.098661503,-1.318133238,TRUE,-2.615572696,-7.320754717,FALSE,2.100199111,-100.2816901,FALSE,18.05036162,-41.49253731,FALSE,34.49469532,-75.77255871,FALSE,
